New,Cover,Description,MCGUIRK1
,95000,DJ Select Rain Jacket,130.5
,95001,DJ Select Rain Trousers,92.25
95271/2,95290/5/7,DJ Tour XP Rain Jacket,95.4
95279,95282/9,DJ Tour XP Rain Shirt,86.4
,95065,DJ Tour XP Rain Trousers,76.5
95595/7,95590/2/3,FJ HydroLite Rain Jacket,64.35
95569/71,95565,FJ HydroLite Rain Shirt,61.92
,95646,FJ HydroLite Rain Trousers,42.75
,95005/6,FJ StaDry Rain Jacket (TGI only),n/a
,95007,FJ StaDry Rain Shirt (TGI only),n/a
95953/4,95950,FJ Perf Thermal Fleece,53.55
95927/8,,FJ Lightweight Softshell Jacket,54
95934/5,,FJ Lightweight Softshell Vest,47.25
95958/9 ; 95967/68,95960/1,FJ Perf Wind Shell Mid Layer,41.4
,94470/1/2,FJ Seamless Thermal Base Layer Mock,25.65
,96893/4 : 94461,FJ Thermal Base Layer Mock,18.9
92612/3/4/5,,Jersey Chill-Out Xtreme,33.75
92600/1,,Double Layer Knit Chill-Out,30.15
91680/1,,"Pique Colour Block w/collar, Armhole & Pocket trim (A)",23.4
91682/3,,Smooth Pique Sleeve Stripes (T),23.4
91684/5,,Pieced Stripe Smooth Pique (A),20.7
91678/9,,Heather Lisle w/solid Lisle trim (A),20.7
96953/4/5,,FJ Perf Shirt - L/S ThermaLite,27
95794 ; 95980/1,,Womens FJ HydroLite Rain Jacket,64.35
94320,94316,Womens FJ HydroLite Rain Trousers,42.75
94445,,Womens Body Mapped Base Layer Mock,25.65
,94456,Womens Thermal Base Layer Mock,18.9
95985/6/7,,Womens DWR Lightweight Softshell Jacket,45
95990/1/2 ; 95598,,Womens DWR Lightweight Softshell Vest,36
95097/98,,FJ Full Zip Wind Jacket,23.31
95088,,FJ 1/2 zip Windshirt - S/S Solid Colour,21.51
95089,,FJ 1/2 zip Windshirt - S/S Heather,21.51
,95390/91/92/88,FJ Lambswool Lined 1/2 Zip (Midweight),42.75
,95425/6/7/8/9,FJ Lambswool 1/2 Zip (Midweight),33.75
95418/19,95370/1/2/3/4/86,FJ Lambswool V-Neck Pullover (Midweight),31.5
,95380/1/2,FJ Lambswool Slipover (Midweight),28.35
95967/68,95960,FJ Wind Shell Mid Layer,41.4
92176/77/78,,Spun Poly Buttoned Pullover,28.71
92144/45/46 ; 92171/72/73/75,,Spun Poly V-neck Pullover,26.91
92139/43 ; 92170,92586/7,FJ Spun Poly Vest,25.2
92607/08/09,,Double Layer Contrast Chill-Out,30.51
92128/29/33/34,,FJ Textured Chill-Out 1/4 zip,30.51
92135/36/37/38 ; 92538/39,92533/34,FJ Sport Chill Out,28.71
92161/62/63/64,,Raglan Chest Stripe Pique,26.01
91985/86/87,,Stretch Pique w/Painted Stripes (A),26.01
91963/64/65/66,,Stretch Lisle Colour Block Space Dye (A),26.01
91981/82/83/84,,Heather Lisle Stripe (A),26.01
,91735/36/37/38/39 ; 49,Pique Chest Stripe w/ Self Collar (T),23.76
91990/91/92/93,,Stretch Pique All Colours Chest Stripe (T),23.76
