new,carryOver,Description,StdCst,TRADEUK1,TRADEEU1,TRADESK1,TRADEDK1,TRADENK1,TRADESF1,TRADEZR1,TRADEDO1,DOLDIST1,EUDIST1,DIRECT1,AGDISC1,CROWN1,McGuirk,MCCLE1,CLUBH1,MARRIOT1,BURHILL1
52012/29,52043/75 ; 52101,FJ Icon Black,54.43375448,150,209,1730,1550,1730,229.9,0,200,150,135.85,135,129,139.5,139.5,139.5,141,141,141
57002/4/5,,FJ Professional,27.44177103,72.5,94,832,689,832,103.4,0,95,71.25,61.1,65.25,62.35,67.425,67.425,67.425,68.15,68.15,68.15
53394,,DNA 2.0 w/Boa,47.99709335,94.095,126.5,1070,920,1070,139.2,1850,138,103.5,82.225,84.6855,80.9217,87.50835,87.50835,87.50835,88.4493,88.4493,88.4493
53383/85/87/88,,DNA 2.0,41.28339807,84.9,116.5,970,840,970,128.2,1650,125,93.75,75.725,76.41,73.014,78.957,78.957,78.957,79.806,79.806,79.806
53610/73/78/80/86,,DryJoys Tour,39.14157241,77,107,940,780,940,117.7,0,110,82.5,69.55,69.3,66.22,71.61,71.61,71.61,72.38,72.38,72.38
53534,,PRO SL Boa,37.24025655,79,105,910,770,910,115.5,0,112.5,84.375,68.25,71.1,67.94,73.47,73.47,73.47,74.26,74.26,74.26
53533/84/94,,PRO SL,30.23098924,70.8,96,830,710,830,105.6,1300,100,75,62.4,63.72,60.888,65.844,65.844,65.844,66.552,66.552,66.552
53619,,DryJoys Casual Boa,37.24025655,79,105,910,770,910,115.5,0,112.5,84.375,68.25,71.1,67.94,73.47,73.47,73.47,74.26,74.26,74.26
53646/57/88,,DryJoys Casual,30.23098924,70.8,96,830,710,830,105.6,1300,100,75,62.4,63.72,60.888,65.844,65.844,65.844,66.552,66.552,66.552
51008,51078,HyperFlex Boa,40.06950314,83,105,910,790,910,115.5,1600,116.5,87.375,68.25,74.7,71.38,77.19,77.19,77.19,78.02,78.02,78.02
51004/06,51022/46,HyperFlex,33.34888946,73.8,96,810,710,810,105.6,1425,104,78,62.4,66.42,63.468,68.634,68.634,68.634,69.372,69.372,69.372
62800/1/2,,HyperFlex Trainer (Internal Use only),24.63374621,50,68,650,510,650,74.8,1045,75,56.25,44.2,50,50,50,50,50,50,50,50
57334,,FreeStyle Boa,38.72109655,83,105,910,790,910,115.5,0,118,88.5,68.25,74.7,71.38,77.19,77.19,77.19,78.02,78.02,78.02
57330/1/2/3,,FreeStyle,31.64654234,73.8,96,810,710,810,105.6,1425,105,78.75,62.4,66.42,63.468,68.634,68.634,68.634,69.372,69.372,69.372
57250/1/2/3/4,,VersaLuxe,34.94903338,73.8,96,860,720,860,105.6,1550,110,82.5,62.4,66.42,63.468,68.634,68.634,68.634,69.372,69.372,69.372
54159/60,,Contour FIT w/Boa,32.83249655,72,94.4,830,750,830,103.9,0,85,63.75,61.36,64.8,61.92,66.96,66.96,66.96,67.68,67.68,67.68
54152/53/54/55,,Contour FIT,26.84029241,61.5,83.9,710,660,710,92.3,995,72,54,54.535,55.35,52.89,57.195,57.195,57.195,57.81,57.81,57.81
,54189/71,Contour w/Boa,32.83249655,72,94.4,830,750,830,103.9,0,85,63.75,61.36,64.8,61.92,66.96,66.96,66.96,67.68,67.68,67.68
54170,54018; 54130/48/93,Contour,26.84029241,61.5,83.9,710,660,710,92.3,995,72,54,54.535,55.35,52.89,57.195,57.195,57.195,57.81,57.81,57.81
54035/6,,Contour (Foremost styles),26.19041324,49.9,68.9,595,0,595,75.9,0,72,54,44.785,44.91,42.914,46.407,46.407,46.407,46.906,46.906,46.906
54211/22; 54216/63,54204/44,Contour Casual,21.95755586,54.5,71,650,550,650,78.2,950,67.5,46.2375,46.15,49.05,46.87,50.685,50.685,50.685,51.23,51.23,51.23
58107/14/15,,Energize w/Boa,32.13902455,55.7,74.05,680,570,680,81.5,0,76.5,57.375,48.1325,50.13,46.231,51.801,51.801,51.801,52.358,52.358,52.358
58116,,Energize,23.85074207,48.5,63.95,580,490,580,70.4,950,67.5,50.625,41.5675,43.65,40.255,45.105,45.105,45.105,45.59,45.59,45.59
50061,,HydroLite 2.0 w/Boa,32.13902455,55.7,74.05,680,570,680,81.5,0,76.5,57.375,48.1325,50.13,46.231,51.801,51.801,51.801,52.358,52.358,52.358
50052/54/55/62/63/64,,HydroLite 2.0,23.85074207,48.5,63.95,580,490,580,70.4,950,67.5,50.625,41.5675,43.65,40.255,45.105,45.105,45.105,45.59,45.59,45.59
53390 (Sept '15) ,53998,FJ Boot,26.13756745,47.1,65,585,485,585,71.5,0,67.5,50.625,42.25,42.39,40.506,43.803,43.803,43.803,44.274,44.274,44.274
57863/4/5,,AWD XL,21.66874942,40.9,54.9,475,401,475,60.4,0,64,48,35.685,36.81,35.174,38.037,38.037,38.037,38.446,38.446,38.446
57866/7/8,,AWD XL Casual,18.52855935,36.9,50.5,460,370,460,55.6,550,59,44.25,32.825,33.21,31.734,34.317,34.317,34.317,34.686,34.686,34.686
58025/26/27,,FJ Superlites XP,21.79827641,38,52,460,380,460,57.2,750,67.5,50.625,33.8,34.2,32.68,35.34,35.34,35.34,35.72,35.72,35.72
58016/8/9,58118 (S Afr),FJ Superlites CT,21.79827641,38,52,460,380,460,57.2,750,67.5,50.625,33.8,34.2,32.68,35.34,35.34,35.34,35.72,35.72,35.72
45300/1,,GreenJoys,16.12524869,29,39.9,354,293,354,43.9,0,45,33.75,25.935,24.0004,23.80001,26.97,26.97,26.97,27.26,27.26,27.26
45099,45023,Junior DNA / HyperFlex,20.58888669,27,37.5,340,280,340,41.3,590,40,32,28.125,24.3,23.22,25.11,25.11,25.11,25.38,25.38,25.38
,48203/11,Junior Girls,21.20572757,24.7,31,0,236,0,34.1,0,36,28.8,23.25,22.23,21.242,22.971,22.971,22.971,23.218,23.218,23.218
,12450,FirstJoys,99.82208772,150,195,1860,1500,1860,215,2695,168,126,146.25,135,129,139.5,139.5,139.5,141,141,141
,52100,MYJOYS - Premier FJ Icon,74.24292414,162,221,2030,1600,2030,243.1,3750,220,187,165.75,162,162,162,162,162,162,162,162
52042,52090,MYJOYS - FJ Icon w/Boa,77.12168138,142,195,1788,1410,1788,214.5,3150,182,154.7,146.25,142,142,142,142,142,142,142,142
