PriceList,Code,Description,OldPrice,NewPrice,
TRADEDO1,T2024S-NP,PRO V1 DOZEN,37,100,
TRADEDO1,T2044S-NP,PRO V1X DOZEN,37,100,
TRADEDO1,T2023S-NP,TITLEIST PRO V1,37,100,
TRADEDO1,T2043S-NP,TITLEIST PRO V1X,37,100,
TRADEDO1,T2025S-NP,PRO V1 DOZ,37,100,
TRADEDO1,T2024C-NP,PRO V1 DOZEN CUST,37,100,
TRADEDO1,T2024S-L00,PRO V1 # 00   DOZ,37,100,
TRADEDO1,T2024S-H99,PRO V1 # 99   DOZ,37,100,
TRADEDO1,T2044S-L00,PRO V1X  # 00   DOZ,37,100,
TRADEDO1,T2044S-H99,PRO V1X  # 99  DOZ,37,100,
TRADEDO1,T2024S-LE68-BIL,PRO V1 BI-LINGUAL #68,37,100,
TRADEDO1,T2044S-LE68-BIL,PRO V1X BI-LINGUAL #68,37,100,
TRADEUK1,T2024S-NP,PRO V1 DOZEN,28.5,100,
TRADEUK1,T2044S-NP,PRO V1X DOZEN,28.5,100,
TRADEUK1,T2023S-NP,TITLEIST PRO V1,28.5,100,
TRADEUK1,T2043S-NP,TITLEIST PRO V1X,28.5,100,
TRADEUK1,T2024C-NP,PRO V1 DOZEN CUST,28.5,100,
TRADEUK1,T2024S-L00,PRO V1 # 00   DOZ,28.5,100,
TRADEUK1,T2024S-H99,PRO V1 # 99   DOZ,28.5,100,
TRADEUK1,T2044S-L00,PRO V1X  # 00   DOZ,28.5,100,
TRADEUK1,T2044S-H99,PRO V1X  # 99  DOZ,28.5,100,
TRADEUK1,T2024S-LE68-BIL,PRO V1 BI-LINGUAL #68,28.5,100,
TRADEUK1,T2044S-LE68-BIL,PRO V1X BI-LINGUAL #68,28.5,100,
TRADEUK1,T2025S-NP,PRO V1 DOZ,28.5,100,
DOLDIST1,T2024S-NP,PRO V1 DOZEN,29.6,100,
DOLDIST1,T2044S-NP,PRO V1X DOZEN,29.6,100,
DOLDIST1,T2023S-NP,TITLEIST PRO V1,29.6,100,
DOLDIST1,T2043S-NP,TITLEIST PRO V1X,29.6,100,
DOLDIST1,T2024C-NP,PRO V1 DOZEN CUST,29.6,100,
DOLDIST1,T2024S-L00,PRO V1 # 00   DOZ,29.6,100,
DOLDIST1,T2024S-H99,PRO V1 # 99   DOZ,29.6,100,
DOLDIST1,T2044S-L00,PRO V1X  # 00   DOZ,29.6,100,
DOLDIST1,T2044S-H99,PRO V1X  # 99  DOZ,29.6,100,
DOLDIST1,T2024S-LE68-BIL,PRO V1 BI-LINGUAL #68,29.6,100,
DOLDIST1,T2044S-LE68-BIL,PRO V1X BI-LINGUAL #68,29.6,100,
DOLDIST1,T2025S-NP,PRO V1 DOZ,29.6,100,
EUDIST1,T2044S-NP,PRO V1X DOZEN,26,100,
EUDIST1,T2024S-NP,PRO V1 DOZEN,26,100,
EUDIST1,T2023S-NP,TITLEIST PRO V1,26,100,
EUDIST1,T2043S-NP,TITLEIST PRO V1X,26,100,
EUDIST1,T2024C-NP,PRO V1 DOZEN CUST,26,100,
EUDIST1,T2024S-L00,PRO V1 # 00   DOZ,26,100,
EUDIST1,T2024S-H99,PRO V1 # 99   DOZ,26,100,
EUDIST1,T2044S-L00,PRO V1X  # 00   DOZ,26,100,
EUDIST1,T2044S-H99,PRO V1X  # 99  DOZ,26,100,
EUDIST1,T2024S-LE68-BIL,PRO V1 BI-LINGUAL #68,26,100,
EUDIST1,T2044S-LE68-BIL,PRO V1X BI-LINGUAL #68,26,100,
EUDIST1,T2025S-NP,PRO V1 DOZ,26,100,
TRADEEU1,T2024S-NP,PRO V1 DOZEN,37,100,
TRADEEU1,T2044S-NP,PRO V1X DOZEN,37,100,
TRADEEU1,T2023S-NP,TITLEIST PRO V1,37,100,
TRADEEU1,T2043S-NP,TITLEIST PRO V1X,37,100,
TRADEEU1,T2024S-L00,PRO V1 # 00   DOZ,37,100,
TRADEEU1,T2024S-H99,PRO V1 # 99   DOZ,37,100,
TRADEEU1,T2044S-L00,PRO V1X  # 00   DOZ,37,100,
TRADEEU1,T2044S-H99,PRO V1X  # 99  DOZ,37,100,
TRADEEU1,T2024S-LE68-BIL,PRO V1 BI-LINGUAL #68,37,100,
TRADEEU1,T2044S-LE68-BIL,PRO V1X BI-LINGUAL #68,37,100,
TRADEEU1,T2025S-NP,PRO V1 DOZ,37,100,
