EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC,
TRADEUK1,66714L,STASOF MLH ASST COLS  LGE,4B,40,EA,10100,311217,1,9.3, ,, ,STASOF,M,FGLV,
TRADEUK1,66734M,STASOF MRH ASST MEDIUM,4B,40,EA,10100,311217,1,9.3, ,, ,STASOF,C,FGLV,
TRADEUK1,66737M,STASOF MRH ASST COLS  MED,4B,40,EA,10100,311217,1,9.3, ,, ,STASOF,M,FGLV,
TRADEUK1,66744M,STASOF MLH WHITE MEDIUM,4B,40,EA,10100,311217,1,9.3, ,, ,STASOF,M,FGLV,
TRADEUK1,66809M,STA SOF MLH PEARL MD,4B,40,EA,10100,311217,1,9.3, ,, ,STASOF,M,FGLV,
TRADEUK1,66846M,STA SOF MRH PEARL MD,4B,40,EA,10100,311217,1,9.3, ,, ,STASOF,M,FGLV,
TRADEUK1,18034C,CTTN CREW CREST TAUPE/HTR,95,70,PR,10100,311217,1,3.45, ,, ,AWAIT CATEGORY,M,SCK1,
TRADEUK1,18044,MENS COTTON CREW BROWN,95,70,PR,10100,311217,1,2.45, ,, ,AWAIT CATEGORY,M,SCK1,
TRADEUK1,18056,MENS CSOF CREW BLK/TAUPE HTHR,95,70,EA,10100,311217,1,2.45, ,, ,AWAIT CATEGORY,M,SCK1,
TRADEUK1,18081,MENS CTTN CREW OLIVE KHAKI,95,70,PR,10100,311217,1,2.45, ,, ,AWAIT CATEGORY,M,SCK1,
TRADEUK1,18114,MENS CSOF CREW BLK/GRY HEATHER,95,70,PR,10100,311217,1,2.45, ,, ,AWAIT CATEGORY,M,SCK1,
TRADEUK1,18163,MENS CTTN CREW NAVY/HEATHER,95,70,PR,10100,311217,1,2.45, ,, ,AWAIT CATEGORY,M,SCK1,
TRADEUK1,18168,MENS CTTN CREW OATMEAL,95,70,PR,10100,311217,1,2.45, ,, ,AWAIT CATEGORY,M,SCK1,
TRADEUK1,18177,MENS CTTN CREW CHARCOAL,95,70,PR,10100,311217,1,2.45, ,, ,AWAIT CATEGORY,M,SCK1,
TRADEUK1,18216,MENS CTTN CREW HUNTER,95,70,PR,10100,311217,1,2.45, ,, ,AWAIT CATEGORY,M,SCK1,
TRADEUK1,18227,MENS CTTN CREW BURGUNDY,95,70,PR,10100,311217,1,2.45, ,, ,AWAIT CATEGORY,M,SCK1,
TRADEUK1,18259,MENS CTTN CREW WINE,95,70,PR,10100,311217,1,2.45, ,, ,AWAIT CATEGORY,M,SCK1,
TRADEUK1,18292,MENS CTTN CREW BROWN/HEATHER,95,70,PR,10100,311217,1,2.45, ,, ,AWAIT CATEGORY,M,SCK1,
TRADEUK1,18465,COTTON CREW COCOA,95,70,PR,10100,311217,1,2.45, ,, ,AWAIT CATEGORY,M,SCK1,
