EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
AGDISC1,66405QM,WSOF Q-MARK LOGO MLH MD,HG,40,EA,10100,311217,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC1,68009QM,Q-MARK SCIFLEX MLH M,HD,40,EA,10100,311217,1,6.88,,,,Q MARK SCIFLEX,C,FGLV
AGDISC1,67236M,R/GRIP EXTREME LLH MED,4G,40,EA,10906,311217,1,4.21,,,,RAINGRIP EXTREM,M,FGLV
AGDISC1,67318M,STA SOF LLH PEARL MD,4B,40,EA,10906,311217,1,8,,,,STASOF,M,FGLV
AGDISC1,67369M,STASOF LLH ASST MEDIUM,4B,40,EA,10906,311217,1,8,,,,STASOF,M,FGLV
AGDISC1,67377M,STASOF LRH ASST MEDIUM,4B,40,EA,10906,311217,1,8,,,,STASOF,M,FGLV
AGDISC1,67699M,CABRETTASOF LLH WTE MED,4V,40,EA,10906,311217,1,5.59,,,,CABRETTASOF,C,FGLV
AGDISC1,67805M,WEATHERSOF LLH ASSTD MED,4F,40,EA,10906,311217,1,3.35,,,,WEATHERSOF,M,FGLV
AGDISC1,67806M,WEATHERSOF LLH ASST    MED,4F,40,EA,10906,311217,1,3.35,,,,WEATHERSOF,M,FGLV
AGDISC1,67812M,WEATHERSOF LRH ASST MED,4F,40,EA,10906,311217,1,3.35,,,,WEATHERSOF,M,FGLV
AGDISC1,67903M,SOFJOY LLH MEDIUM,4D,40,EA,10906,311217,1,5.38,,,,SOFJOY (SMU),M,FGLV
AGDISC1,68006M,SCIFLEX GLOVE MLH MED,4C,40,EA,10906,311217,1,6.28,,,,SCIFLEX,M,FGLV
AGDISC1,68009M,SCIFLEX GLOVE MLH MED,4C,40,EA,10906,311217,1,6.28,,,,SCIFLEX,M,FGLV
AGDISC1,68013M,SCIFLEX GLOVE MLH CADET MD,4C,40,EA,10906,311217,1,6.11,,,,SCIFLEX,C,FGLV
AGDISC1,68014M,SCIFLEX GLOVE MRH MED,4C,40,EA,10906,311217,1,6.28,,,,SCIFLEX,M,FGLV
AGDISC1,68028M,SCIFLEX GLOVE MRH MD,4C,40,EA,10906,311217,1,6.28,,,,SCIFLEX,C,FGLV
AGDISC1,68304M,SOFJOY MLH MEDIUM,4D,40,EA,10906,311217,1,5.38,,,,SOFJOY (SMU),M,FGLV
AGDISC1,68805M,SOFJOY GLOVE MLH ASST MED,4D,40,EA,10906,311217,1,5.38,,,,SOFJOY (SMU),M,FGLV
AGDISC1,68806M,CABRETTASOF MLH WTE MED,4V,40,EA,10906,311217,1,5.59,,,,CABRETTASOF,M,FGLV
