EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
EUDIST1,15032,MENS C/SOLE OATMEAL,95,70,PR,110600,311217,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST1,BLITZINVITE,DEMO BLITZ INVITE,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COB16G,COBRA 16 CLUB GRAPHICS,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBBSTK,COBRA BRAND STICKER,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBCFSS,COBRA CF SWING SIGN,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBCLING,COBRA SPEED CLING,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBDCC,COBRA DRIVER CLIP CARD,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBDPOST,COBRA DRIVER AD POSTER (A2)ENG,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBDSTK,COBRA DRIVER STICKER,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBEXPSUPP,COB EXTREME POWER SUPP,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBFSIGN,COBRA FOAMEX SIGN,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBICC,COBRA IRON CLIPCARD,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBIPOST,COBRA IRON AD POSTER (A2) ENG,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBLDM,COBRA LONG DRIVE MARKER ENG,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBLPOST,COBRA LADIES POSTER,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBMOUSE,COBRA SPEED MOUSE MAT,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBPCC,COBRA PUTTERS CLIPCARD,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBWSLG,COBRA STAFF PRO WINDSHIRT LG,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBWSMED,COBRA STAFF PRO WINDSHIRT MED,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COBWSXL,COBRA STAFF PRO WINDSHIRT XL,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COMPSSPK,COB COMP SS PK,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,COMPSTK,COB COMP STICKER,C8,97,EA,110600,311217,1,0,,,N,AWAIT CATEGORY,M,CACC
EUDIST1,CSPDDEM,"COBRA 12"" SPEED DEMO BAG",C7,96,EA,110600,311217,1,143,,,,AWAIT CATEGORY,M,CBAG
EUDIST1,CXO99BHB,COBRA BOSTON BAG HOLDALL,C6,97,EA,110600,311217,1,45,,,,AWAIT CATEGORY,M,CACC
EUDIST1,CXOTC,COBRA TRAVEL COVER W/WHEELS,C6,97,EA,110600,311217,1,56,,,,AWAIT CATEGORY,M,CACC
EUDIST1,CZO98TN,COBRA BAG TOWEL NAVY,C6,97,EA,110600,311217,1,8,,,,AWAIT CATEGORY,M,CACC
EUDIST1,CZODLT,COBRA DELUXE TOWEL,C6,97,EA,110600,311217,1,7,,,,AWAIT CATEGORY,M,CACC
EUDIST1,CZOKLTB,COBRA TOWEL BLACK,C6,97,EA,110600,311217,1,7,,,,AWAIT CATEGORY,M,CACC
EUDIST1,CZOKUB,DUAL CANOPY UMBRELLA,C6,97,EA,110600,311217,1,24,,,,AWAIT CATEGORY,M,CACC
EUDIST1,97015080M,LOPRO WHITE VELCRO,9T,60,PR,110600,311217,1,56,,SHOE,,LOPRO,M,FJ1
EUDIST1,97023080M,LOPRO BLACK VELCRO,9T,60,PR,110600,311217,1,56,,SHOE,,LOPRO,M,FJ1
EUDIST1,45033050M,JUNIOR WHITE/RED,9P,60,PR,110600,311217,1,25,,SHOE,,JUNIOR,M,FJ1
EUDIST1,45556080M,GREENJOYS BLACK/BLACK,9P,60,PR,110600,311217,1,34,,SHOE,,GREENJOYS,M,FJ1
EUDIST1,48415080M,GREENJOYS WHITE/NAVY,9P,60,PR,110600,311217,1,34,,SHOE,,GREENJOYS,M,FJ1
EUDIST1,48941070W,LADY GREENJOY NAVY,9P,60,PR,110600,311217,1,34,,SHOE,,GREENJOYS,M,FJ1
EUDIST1,98346070M,ECOMFORT WHITE/BLUE VELCRO,9L,60,PR,110600,311217,1,42,,SHOE,,SUMMER S. ECOMF,M,FJ1
