New,Cover,Description,TRADEUK1,TRADEEU1,TRADESK1,TRADEDK1,TRADENK1,TRADESF1,TRADEZR1,TRADEDO1,DOLDIST1,EUDIST1,SPORTSW1,AGDISC1,CROWN1,MCGUIRK1,MCCLE1,CLUBH1,MARRIOT1,BURHILL1,CORP1
92166,,SMTH PIQ MULBERY,26,33,310,240,290,36.3,0,32.5,27.63,26.4,23.4,22.88,23.4,23.4,23.4,23.4,23.4,23.4,28.6
92167,,SMTH PIQ INDIGO/CORAL,26,33,310,240,290,36.3,0,32.5,27.63,26.4,23.4,22.88,23.4,23.4,23.4,23.4,23.4,23.4,28.6
92168,,LSLE SPACEDYE WHT/CHA MLB,29,36.9,350,260,330,40.6,0,37.5,31.88,29.52,26.1,25.52,26.1,26.1,26.1,26.1,26.1,26.1,31.9
92169,,LSLE SPACEDYE WHT/IND COR,29,36.9,350,260,330,40.6,0,37.5,31.88,29.52,26.1,25.52,26.1,26.1,26.1,26.1,26.1,26.1,31.9
92179,,PIQ C.BLCK BLK/WHT/CHA,31.5,40.7,370,280,350,44.8,0,37.5,31.88,32.56,28.35,27.72,28.35,28.35,28.35,28.35,28.35,28.35,34.65
92180,,PIQ C.BLCK H.GRY/WHT/COR,31.5,40.7,370,280,350,44.8,0,37.5,31.88,32.56,28.35,27.72,28.35,28.35,28.35,28.35,28.35,28.35,34.65
92400,,SMTH PIQ COL/S.STRPS WHT/MUL,26,33,310,240,290,35.8,0,34,28.9,26.4,23.4,22.88,23.4,23.4,23.4,23.4,23.4,23.4,28.6
92401,,SMTH PIQ COL/S.STRPS COR/IND,26,33,310,240,290,35.8,0,34,28.9,26.4,23.4,22.88,23.4,23.4,23.4,23.4,23.4,23.4,28.6
92402,,PIQ C.BLCK CONT WHT/MUL/CHA,29,36.9,350,260,330,40.1,0,34,28.9,29.52,26.1,25.52,26.1,26.1,26.1,26.1,26.1,26.1,31.9
92403,,PIQ C.BLCK CONT WHT/IND/COR,29,36.9,350,260,330,40.1,0,34,28.9,29.52,26.1,25.52,26.1,26.1,26.1,26.1,26.1,26.1,31.9
92404,,TEXT CHILL OUT CHA/WHT,37.5,49,450,325,425,53.9,0,47.5,40.38,39.2,33.75,33,33.75,33.75,33.75,33.75,33.75,33.75,41.25
92405,,TEXT CHILL OUT IND/WHT,37.5,49,450,325,425,53.9,0,47.5,40.38,39.2,33.75,33,33.75,33.75,33.75,33.75,33.75,33.75,41.25
92406,,CHILL OUT CHEST PIP BLK/CHA/M,37.5,49,450,325,425,53.9,0,47.5,40.38,39.2,33.75,33,33.75,33.75,33.75,33.75,33.75,33.75,41.25
92407,,CHILL OUT CHEST PIP H.G/IND/W,37.5,49,450,325,425,53.9,0,47.5,40.38,39.2,33.75,33,33.75,33.75,33.75,33.75,33.75,33.75,41.25
95002,,DJ SELECT JKT BLK/CHA/RED/WHT,165,199,1850,1410,1755,218.9,0,187.5,159.38,159.2,148.5,145.2,148.5,148.5,148.5,148.5,148.5,148.5,181.5
95010,,DJ TOUR LTS JKT BLK/GRY/WHT,125,159,1400,1045,1295,174.9,0,142.5,121.13,127.2,112.5,110,112.5,112.5,112.5,112.5,112.5,112.5,137.5
95011,,DJ TOUR LTS JKT H.GRY/NVY/WHT,125,159,1400,1045,1295,174.9,0,142.5,121.13,127.2,112.5,110,112.5,112.5,112.5,112.5,112.5,112.5,137.5
95012,,DJ TOUR LTS JKT CHA/BLK/WHT,125,159,1400,1045,1295,174.9,0,142.5,121.13,127.2,112.5,110,112.5,112.5,112.5,112.5,112.5,112.5,137.5
95013,,DJ TOUR LTS JKT C.BLU/H.GRY/B,125,159,1400,1045,1295,174.9,0,142.5,121.13,127.2,112.5,110,112.5,112.5,112.5,112.5,112.5,112.5,137.5
95014,,DJ TOUR LTS JKT RED/BLK/WHT,125,159,1400,1045,1295,174.9,0,142.5,121.13,127.2,112.5,110,112.5,112.5,112.5,112.5,112.5,112.5,137.5
95015,,DJ TOUR LTS R/S BLK/WHT,115,145,1200,910,1060,159.5,0,142.5,121.13,116,103.5,101.2,103.5,103.5,103.5,103.5,103.5,103.5,126.5
95016,,DJ TOUR LTS R/S WHT/CHA/C.BLU,115,145,1200,910,1060,159.5,0,142.5,121.13,116,103.5,101.2,103.5,103.5,103.5,103.5,103.5,103.5,126.5
95017,,DJ TOUR LTS RAIN TROUSER BLK,100,129,1100,825,990,141.9,0,105,89.25,103.2,90,88,90,90,90,90,90,90,110
95580,,HYDROLITE JKT C.BLU CHECK,79,99,930,710,880,108.9,1325,92.5,78.63,79.2,71.1,69.52,71.1,71.1,71.1,71.1,71.1,71.1,86.9
95579,,HYDROLITE JKT BLK/C.BLU/WHT,79,99,930,710,880,108.9,1325,92.5,78.63,79.2,71.1,69.52,71.1,71.1,71.1,71.1,71.1,71.1,86.9
95582,,HYDROLITE JKT BLK CHECK W/R,79,99,930,710,880,108.9,1325,92.5,78.63,79.2,71.1,69.52,71.1,71.1,71.1,71.1,71.1,71.1,86.9
95583,,HYDROLITE RS NVY CHECK W/C.B,76,97,900,680,840,106.7,0,92.5,78.63,77.6,68.4,66.88,68.4,68.4,68.4,68.4,68.4,68.4,83.6
95584,,THERMAL QUILT JKT BLK,70,89,850,620,765,97.9,0,110,93.5,71.2,63,61.6,63,63,63,63,63,63,77
95585,,THERMAL QUILT JKT NVY/C.BLU,70,89,850,620,765,97.9,0,110,93.5,71.2,63,61.6,63,63,63,63,63,63,77
95586,,THERMAL QUILT JKT H.GRY/WHT,70,89,850,620,765,97.9,0,110,93.5,71.2,63,61.6,63,63,63,63,63,63,77
95587,,THERMAL QUILT VEST BLK,65,83,800,540,660,91.3,0,92.5,78.63,66.4,58.5,57.2,58.5,58.5,58.5,58.5,58.5,58.5,71.5
95589,,THERMAL QUILT VEST NVY/C.BLU,65,83,800,540,660,91.3,0,92.5,78.63,66.4,58.5,57.2,58.5,58.5,58.5,58.5,58.5,58.5,71.5
95430,,LWOOL LINED 1/2 ZIP C.BLU,47.5,66.5,630,500,630,73.2,0,65,55.25,53.2,42.75,41.33,42.75,42.75,42.75,42.75,42.75,42.75,52.25
95431,,LWOOL LINED 1/2 ZIP L.GRY,47.5,66.5,630,500,630,73.2,0,65,55.25,53.2,42.75,41.33,42.75,42.75,42.75,42.75,42.75,42.75,52.25
95432,,L'WOOL VNECK CADET BLUE,35,49.5,470,365,470,54.5,0,50,42.5,39.6,31.5,30.45,31.5,31.5,31.5,31.5,31.5,31.5,38.5
95433,,L'WOOL VNECK INDIGO,35,49.5,470,365,470,54.5,0,50,42.5,39.6,31.5,30.45,31.5,31.5,31.5,31.5,31.5,31.5,38.5
92568,,FLEECE C/OUT XTREME BLK/WHT,42.5,58,510,390,480,63.8,0,55,46.75,46.4,38.25,37.4,38.25,38.25,38.25,38.25,38.25,38.25,46.75
92569,,FLEECE C/OUT XTREME H.GRY/WHT,42.5,58,510,390,480,63.8,0,55,46.75,46.4,38.25,37.4,38.25,38.25,38.25,38.25,38.25,38.25,46.75
92527,,JERSEY C/OUT XTREME BLK/CHA,42.5,54,510,390,480,59.4,0,48,40.8,43.2,38.25,37.4,38.25,38.25,38.25,38.25,38.25,38.25,46.75
92528,,JERSEY C/OUT XTREME NVY/H.GRY,42.5,54,510,390,480,59.4,0,48,40.8,43.2,38.25,37.4,38.25,38.25,38.25,38.25,38.25,38.25,46.75
92529,,JERSEY C/OUT XTREME CHA/C.BLU,42.5,54,510,390,480,59.4,0,48,40.8,43.2,38.25,37.4,38.25,38.25,38.25,38.25,38.25,38.25,46.75
95993,,WMNS THERMAL QUILT JKT BLK,60,74,750,540,660,81.4,0,90.5,76.93,59.2,54,52.8,54,54,54,54,54,54,66
95994,,WMNS THERMAL QUILT JKT NVY,60,74,750,540,660,81.4,0,90.5,76.93,59.2,54,52.8,54,54,54,54,54,54,66
95995,,WMNS THERMAL QUILT VEST BLK,55,64,650,425,550,70.4,0,69.5,59.08,51.2,49.5,48.4,49.5,49.5,49.5,49.5,49.5,49.5,60.5
95996,,WMNS THERMAL QUILT VEST NVY,55,64,650,425,550,70.4,0,69.5,59.08,51.2,49.5,48.4,49.5,49.5,49.5,49.5,49.5,49.5,60.5
94388,,WMNS C/OUT XTREME CHARCOAL,42.5,54,510,0,0,59.4,0,67.5,57.38,43.2,38.25,37.4,38.25,38.25,38.25,38.25,38.25,38.25,46.75
94389,,WMNS C/OUT XTREME NAVY,42.5,54,510,0,0,59.4,0,67.5,57.38,43.2,38.25,37.4,38.25,38.25,38.25,38.25,38.25,38.25,46.75
