New,CarryOver,Description,TRADEUK1,TRADEEU1
52007/08/09,,FJ Icon Black,162,69.4
57001/07,57002,FJ Professional,78.3,65.72
53392,53394,DNA 2.0 w/Boa,101.7,49.48
53309,53383/85/88,DNA 2.0,91.7,6.59
53798/99; 53800,53673/78,DryJoys Tour,83.2,43.87
53534,,PRO SL Boa,86.5,19.78
53533/84/94,,PRO SL,76.5,24.63
51026,,HyperFlex II Boa,89.7,14.65
51024/25/31/35,,HyperFlex II,79.7,37.91
,62800/01/02,HyperFlex Trainer (Internal Use only),50,5.82
57341,,FreeStyle Boa,89.7,50.64
57340,57330/33,FreeStyle,79.7,50.82
57255,57250/53/54,VersaLuxe,79.7,50.48
54159/60,,Contour FIT w/Boa,76.4,0.68
54152/53/54/55,,Contour FIT,66.4,40.7
,54035/36,Contour (Foremost styles),51.9,22.41
54365/66/67/68,,Contour Casual,58.9,10.82
58116,,Energize w/Boa,62.4,32.77
58107/14/15,,Energize,52.4,36.33
50008/27,50052/55,HydroLite 2.0,52.4,8.12
,53990,FJ Boot,50.9,31.83
57872,57864/65,AWD XL,44.2,31.04
57873/74,57868,AWD XL Casual,39.9,12.1
58026/27,,FJ Superlites XP,51.9,43.4
58176,58118,FJ Superlites CT,38,27.54
,45300/01,GreenJoys,31.3,26.67
45022,45099,Junior FreeStyle/HyperFlex,29.2,17.54
48219,,Junior Girls,24.7,10.08
,12450,FirstJoys,162,37.23
,52042,MYJOYS - FJ Icon w/Boa,156,21.37
,52041/80/10/40,MYJOYS - FJ Icon,146,106.22
,52002,MYJOYS - D.N.A. w/Boa,124.5,24.42
,52001,MYJOYS - D.N.A.,114.5,109.66
,52270; 52300,MYJOYS - FJ Professional,119.9,39.8
,53780,MYJOYS - DryJoys Tour,103.7,97.42
,54280,MYJOYS - Contour,90.7,9.12
,54271,MYJOYS - Contour Casual,90.7,28.2
98898,,Aspire Boa,91.2,7.87
98895/97,,Aspire,83.2,6.69
91692/93,,Tailored Collection,71.3,69.09
99017,,DryJoys Boa,79,9.27
96108,,emBody Boa,70.1,11.2
96102/06,96000; 96100,emBody,62.1,5.24
,98004,emPower Boa,61.5,17.02
98014/19/20/21,98003,emPower,53.5,37.04
97718/21/22/23/24,,Casual Collection,51.3,32.82
96109/96110,,emBody FJ Boot,53.5,49.19
93913/14/15,93906/08,eMerge Spiked,39.9,24.33
,93903/05,eMerge Spikeless,34,28.82
95706/07,95703,enJoy,34,3.75
,99640,MYJOYS - DryJoys BOA,106.8,11.53
,99630,MYJOYS - DryJoys,98.8,62.37
,97330,MYJOYS - LoPro,79.8,54.97
99643,,MYJOYS - LoPro Casual,79.8,76.57
,52604/16,AQL (AG spec),34.6,22.14
50032,,HydroLite SL (GolfStore),35,3.54
,53956,SoftJoys (Decathlon),33,19.7
,93912,eMerge (Decathlon),39,18.92
,53834/5,SoftJoys SD (Sports Direct - Mens),31.2,6.14
,53836/7,SoftJoys (Sports Direct - Mens),26,22.44
,64011,Pure Touch,12.7,3.34
6641E/2E/4E; 6650E,,StaSof Star (Tour Only),0,0
66747E/48E/49E,,StaSof,11.1,8.75
60275E/80E; 65703E/12E,60003/37/60/94; 60128/51; 60241/74; 65706/44/51/68/75/91/99; 65702E,FJ Spectrum,9.6,3.26
,6620E/1E/2E,SciFlex Tour Star (Tour Only),0,0
,68007E/12E; 67032E/48E,SciFlex Tour,9,1.4
,68026,SciFlex Tour - Assorted 1/2 doz,54,30.07
,68828/34/18; 67692; 67693E,CabrettaSof,8.05,4.16
,,Contour FLX,0,0
64815E/16E/18E/20E/22E/24E/53E/60E/70E,,GTxtreme,7.35,4.02
64821E/50E,,GTxtreme - Fashion1/2 doz,44.1,30.82
66820E; 67882E,66241E/58E/70E/79E; 67860E/88E; 67901E/02E,WeatherSof ,5.2,4.81
,66294; 67800,WeatherSof - Fashion 1/2 doz,31.2,28.4
,66409E/13E; 67478E,WeatherSof - 2-glove,8.7,0.07
,66432E,WeatherSof - 3-glove (1 x 3-Fer),12.5,8.14
,66432/53; 67496,WeatherSof - 3-glove (Pk = 6 x 3-Fers),75,20.79
,67495E,WeatherSof - Pair,9.85,4.21
,66538/49; 67270,RainGrip Xtreme,9,1.24
,66560; 67288,RainGrip Xtreme - Pair,15.5,11.1
66556E/66558E/66569E/67279E,,RainGrip,6.25,6.01
66566E/67280E,,RainGrip - Pair,9.9,0.58
,66540E,RainGrip Bonus Pack,10.5,4.48
XXXXX,,WinterPlay Bonus Pack,10,2.35
66967E/66979E,,WinterSof - Pair,12.15,4.62
67729E/31E/35E ,,FJ Attitudes,8,4.85
67749E,,FJ Attitudes - Assorted Pairs Pack,44.6,43.39
67120E,67109E,StaCooler (Traditional & Fashion),7.6,1.06
,67115,StaCooler (Fashion),45.6,26.91
65932E/39E/50E,,FootJoy Junior,4.55,2.05
,,Ball marker upcharge,0.85,0.81
66747Q,,Q Mark StaSof,11.95,11.47
,68007Q,Q Mark SciFlex Tour,9.85,8.02
,68828Q/34Q; 67692Q/93Q,Q Mark CabrettaSof,8.9,0.37
64815Q/16Q/18Q/22Q/53Q,,Q Mark GTxtreme,8.2,2.42
,66241Q/58Q/70Q; 67860Q/90Q; 67901Q,Q Mark WeatherSof,6.05,2.61
,68011R/29R,Ryder Cup SciFlex,11.5,4.61
,66370R/88R ; 67905R/13R,Ryder Cup WeatherSof,7.3,6.07
,QM12,Ball Markers (per doz),12,8.26
,,Crested envelope (eaches - add charge),2.05,0.86
Q66747,,Q Mark Sta Sof - WITHOUT Ball Markers,11.1,4.69
,68108E,Q Mark Sci-Flex Tour - WITHOUT Ball Markers,9,3.75
,Q68828; Q67692; Q67693,Q Mark CabrettaSof - WITHOUT Ball Markers,8.05,2.98
Q64815/16/18/22/53,,Q Mark GTxtreme - WITHOUT Ball Markers,7.35,5.2
,66306E/14E/22E; 67911E/27E/36E ,Q Mark WSof - WITHOUT Ball Markers,5.2,2.47
,18203H/12H,Compression Tour - High Crew - 1/2 Doz,43.8,32.46
,18504H/13H,Compression Tour - Sport - 1/2 Doz,40.5,13.25
,17000H,TechSof Tour Thermal - Crew - 1/2 Doz,37.8,19.11
17213H,,TechSof Tour - Crew - 1/2 Doz,37.8,13.21
17305H/6H,,TechSof Tour - Quarter - 1/2 Doz,33,26.06
17401H,,TechSof Tour - Sport - 1/2 Doz,33,26.74
,16008H/16H/24H/32H/41H,ProDry - Crew - 1/2 Doz,28.5,8.51
,16219H/27H,ProDry - Quarter - 1/2 Doz,24.8,13.65
,16704H/12H,ProDry - Sport - 1/2 Doz,24.8,19.48
16620H/22H,,ProDry - Roll-Tab - 1/2 Doz,24.8,18.97
,16503H,Lightweight ProDry - Crew - 1/2 Doz,24.8,11.77
,16608H/14H,Lightweight ProDry - Sport - 1/2 Doz,21.6,13.93
16831H,,ProDry - Crew - Solid Colour Collection - 1/2 Doz,26.2,17.37
16821H/22H/23H/26H,,ProDry - Crew - Fashion Colour Collection - 1/2 Doz,28.2,16.14
16827H/28H/29H/30H,,ProDry - Sport - Fashion Colour Collection - 1/2 Doz,24.6,11.51
16120P,,ProDry - Sport - White Fashion Asst - 3 Dozen,135,102.71
16122D,,ProDry - Sport - Black Fashion Asst - Dozen,45,25.48
,16523D/49D,ProDry - Crew - 2 pr Value Pack (6 x 2 pr banded),42.9,1.55
,16317D/24D/31D,ComfortSof - Crew - (4 x 3 pr banded),28.8,24.35
,15241D/33D,ComfortSof - Sport - (4 x 3 pr banded),22.8,18.45
,15240D/14044D,ComfortSof Sport Unisex - (6 x 2 pr banded),16.2,1.15
17003/5,,American Golf Sock Box (2 pr),7.5,1.17
1016,,2016 Xmas Sock Pack UK (2 dz - 8 x 3pr),48,34.89
,1015,2016 Xmas Sock Pack Southern (2 dz - 8 x 3pr),81,30
,19105H/08H,TechSof Tour - Sport - 1/2 Doz,33,17.71
,19508H/14H,LTWT ProDry - Crew - 1/2 Doz,24.8,15.99
,19519H/26H/34H/41H,LTWT ProDry - Pom Pom - 1/2 Doz,21.6,7.79
16861H,16812H,LTWT ProDry - Roll-Tab - 1/2 Doz,21.6,16.05
,19221H/39H,LTWT ProDry - Quarter - 1/2 Doz,21.6,4.68
,19316H,LTWT ProDry - Sportlet - 1/2 Doz,21.6,21.26
,19342H/66H,LTWT ProDry - Striped Sportlet - 1/2 Doz,21.6,7.29
16834D,,LTWT ProDry - GolfLeisure Asst Sportlet - Doz,41,7.43
,19311P,LTWT ProDry - Assorted Argyle - Doz,43.5,4.36
,19761P,LTWT ProDry - Asst Fashion - 3 Dozen,129.6,29.71
,14048D/63D,ComfortSof - Sportlet - (4 x 3 pr banded),22.8,10.41
,14322D,ComfortSof - Low Cut - (4 x 3 pr banded),22.8,20.64
,19712P,ComfortSof - Spinner - 4 doz,138,137.11
,15017H,ProDry - Crew Assorted - 1/2 Doz,20.7,17.86
,15514H,ProDry - LowCut Assorted - 1/2 Doz,19.8,4.44
,12633/41/59/67/74/81,ProDry - Crew Crested - Doz,78.9,29.56
,12505/12,ProDry - Quarter Crested - Doz,72,53.68
,12551/68,ProDry - Sport Crested - Doz,72,60.81
,12808,LTWT ProDry - Quarter Crested - Doz,65.4,24.66
,12901/19/27,LTWT ProDry - Sportlet Crested - Doz,65.4,27.29
,34611,FJ Canvas Shoe Care Kit,11,3.38
,34610,Shoe Care Kit,11,9.77
,3301/02/04/05,Polish - pack of 6,10,4.01
33576,,Tour Lock Lite Spike (Bowl/400),119,52.24
33580,,Tour Lock Pulsar (Bowl/400),119,61.01
33577,,Tour Lock Tornado (Clamshell),7.3,5.8
33578,,Tour Lock Pulsar (Clamshell),7.3,6.78
,33574,PINS Stealth (Clamshell),6.8,2.91
,33575,PINS Pulsar (Clamshell),6.8,1.66
