type,Description,TRADEZR1
bll,Pro V1 ,495
bll,Pro V1x ,495
bll,Pro V1 (All Double Digit),495
bll,Pro V1x (All Double Digit),495
bll,NXT Tour 'S' and yellow,355
bll,Velocity,260
bll,DT TruSoft,225
bll,NEW! Pinnacle Rush (dz),190
bll,NEW! Pinnacle Soft (dz),190
bll,Pinnacle Exception,155
bll,Pinnacle Practice ( Doz )White,125
bll,Pinnacle Practice ( Doz )Yellow,125
bll,Pinnacle Practice ( Doz )White +Logo,125
bll,Pinnacle Practice ( Doz )Yellow + Logo,125
bll,PRO  V1  LOGO  OVER-RUNS (BULK),245
bll,PINNACLE  LOGO  OVER-RUNS (BULK),125
bll,NEW! PRO V1X OUTS,300
bll,X-OUT - TITLEIST  SURLYN,130
bll,PRACTICE BALLS (V1 & V1X) Loose,330
bll,PRACTICE BALLS NXT,155
bll,PRACTICE BALLS NXT - LOGO,165
irn,716 AP1,975
irn,716 AP1 Graphite,1175
irn,716 AP2 Forged,1300
irn,716 AP2 Forged Graphite,1300
irn,716 CB,1300
irn,716 MB,1200
irn,716 T-MB,2050
irn,716 T-MB Graphite,2090
irn,716 CB Graphite,1282
irn,716 MB Graphite,1200
irn,2017 AP1 Steel,975
irn,2017 AP1 Graphite,1175
irn,2017 AP2 Steel,1300
irn,2017 CB Steel,1300
irn,2017 MB Steel,1200
irn,2017 T-MB Steel,2050
vky,Vokey SM6 - Tour Chrome,1200
vky,Vokey SM6 - Steel Grey,1200
vky,Vokey SM6 - Jet Black,1200
vky,Vokey SM6 - Custom Graphite,1300
mtl,Hybrids - 816H1,2000
mtl,Hybrids - 816H2,2000
mtl,Hybrids - 818H1,2000
mtl,Hybrids - 818H2,2000
ptr,"Cameron Crown 33""",3000
ptr,Cameron  Dual Balance ,3795
ptr,Cameron Select / H - 2016,3300
ptr,Cameron - Futura / H - 2017,3300
ptr,S Cameron - Limited Editions #2,3300
ptr,S Cameron - Limited Editions #3,3960
ptr,S Cameron - My Girl / Holiday,5000
ptr,Pivot Tool,85
glv,Players,215
glv,Players-Flex ,165
glv,Perma-Soft,145
bag,"NEW! Tour Vinyl  Staff Bag(9.5"")",4250
bag,Sta-Dry Cart Bag,2400
bag,NEW! Midsize Staff Cart Bag,2400
bag,Deluxe Cart Bag,2150
bag,Lightweight Cart Bag,1775
bag,NEW! Tour Stand ,2200
bag,NEW! Players 5 StaDry Waterproof Stand ,2200
bag,NEW! Players 14 Stand Bag - Staff Colours,1775
bag,NEW! Players 14 Stand Bag,1775
bag,NEW! Players 5 Stand Bag - Staff Colours,1650
bag,NEW! Players 5 Stand Bag,1650
bag,Sta-Dry 4UP Stand Bag,2000
bag,NEW! Players 4 Stand Bag - Staff Colours,1450
bag,NEW! Players 4 Stand Bag,1450
bag,NEW! Premium Carry DS Bag,900
bag,NEW! Sunday Carry DS Bag ,595
hdw,Classic Ball Marker (Dozen),2500
hdw,NEW! Performance Ball Marker (Dozen),2500
hdw,Flag Q Max (Dozen) (FRA/BEL/SPA/POR/SWE),1980
hdw,NEW! Tour Performance (Dozen),2340
hdw,NEW! Tour Performance Visor (Dozen),2340
hdw,Tour Visor - Black/White (Dozen),2340
hdw,NEW! Two Tone Mesh (Dozen),2500
hdw,NEW! Ladies Pink Ribbon Visor (1/2 dz),1020
hdw,NEW! Ladies Pink Ribbon Cap (1/2 dz),1250
hdw,NEW! Ladies Sports Visor (1/2 dz),1020
hdw,NEW! Junior Performance Cap (1/2 dz),1170
hdw,NEW! Winter POM POM (1/2 dz),1140
hdw,NEW! Winter Fitted Beanie (Striped) Ladies and Mens (1/2 dz),1140
hdw,Performance Beanie (1/2 dz),1140
hdw,Aussie Assorted (1/2 dz) SOUTHERN & S AFRICA ONLY,1450
hdw,NEW! Dobby Tech Cap (Dozen),2500
hdw,NEW! Players Deep Fit (Dozen),2500
acc,PROFESSIONAL Small Wheeled Travel Cover,2950
acc,"PROFESSIONAL 24"" Wheeled Duffel",2400
acc,"PROFESSIONAL 24"" Roller",2500
acc,PROFESSIONAL Duffel Bag,1850
acc,PROFESSIONAL Messenger Bag ,1700
acc,PROFESSIONAL Backpack,1850
acc,PROFESSIONAL Cabin Bag,1700
acc,PROFESSIONAL Briefcase,1850
acc,ESSENTIAL Travel Cover,1750
acc,"ESSENTIAL 22"" Wheeled Duffel Bag",1275
acc,ESSENTIAL Duffel Bag,775
acc,NEW! Large Backpack,775
acc,ESSENTIAL Sackpack,210
acc,ESSENTIAL Valubles Pouch,140
acc,NEW! Practice Ball Bag,695
acc,NEW! Den Caddy,1125
acc,Double Canopy Umbrella,550
acc,Premier Umbrella ,1150
acc,Staff Towel,295
acc,Players Towel,210
acc,Microfibre Towel,175
acc,NEW! Microfibre Tri-Fold Cart Towel,145
acc,Black Leather Headcover - Driver,500
acc,Black Leather Headcover - Fairway,415
acc,Black Leather Headcover - Hybrid,400
acc,Ear Band,90
acc,Cart Mitts,310
