0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,PriceList0,PriceList1,PriceList2,PriceList3,PriceList4,PriceList5,PriceList6,PriceList7,PriceList8,PriceList9,PriceList10,PriceList11,PriceList12,PriceList13,PriceList14,PriceList15,PriceList16,PriceList17,
92166S,SMTH PIQ MULBERY,FJPFSH,067300,61052010,00,10116,8M,67,EA,EA,1,1,0.25,4.0,AWAIT CATEGORY,LCHTYAB,FJAP,USProdStr,92166S,,B,China,RWEAR,18,1,95,10.81,,,,,,,,,,,,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,
92166M,SMTH PIQ MULBERY,FJPFSH,067300,61052010,00,10116,8M,67,EA,EA,1,1,0.25,4.0,AWAIT CATEGORY,LCHTYAC,FJAP,USProdStr,92166M,,B,China,RWEAR,18,1,95,10.81,,,,,,,,,,,,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,
92166L,SMTH PIQ MULBERY,FJPFSH,067300,61052010,00,10116,8M,67,EA,EA,1,1,0.25,4.0,AWAIT CATEGORY,LCHTYAD,FJAP,USProdStr,92166L,,B,China,RWEAR,18,1,95,10.81,,,,,,,,,,,,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,
92166XL,SMTH PIQ MULBERY,FJPFSH,067300,61052010,00,10116,8M,67,EA,EA,1,1,0.25,4.0,AWAIT CATEGORY,LCHTYAE,FJAP,USProdStr,92166XL,,B,China,RWEAR,18,1,95,10.81,,,,,,,,,,,,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,
92166XXL,SMTH PIQ MULBERY,FJPFSH,067300,61052010,00,10116,8M,67,EA,EA,1,1,0.25,4.0,AWAIT CATEGORY,LCHTYAF,FJAP,USProdStr,92166XXL,,B,China,RWEAR,18,1,95,10.81,,,,,,,,,,,,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,
92167S,SMTH PIQ INDIGO/CORAL,FJPFSH,067300,61052010,00,10116,8M,67,EA,EA,1,1,0.25,4.0,AWAIT CATEGORY,LCHTZAB,FJAP,USProdStr,92167S,,B,China,RWEAR,18,1,95,10.81,,,,,,,,,,,,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,
92167M,SMTH PIQ INDIGO/CORAL,FJPFSH,067300,61052010,00,10116,8M,67,EA,EA,1,1,0.25,4.0,AWAIT CATEGORY,LCHTZAC,FJAP,USProdStr,92167M,,B,China,RWEAR,18,1,95,10.81,,,,,,,,,,,,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,
92167L,SMTH PIQ INDIGO/CORAL,FJPFSH,067300,61052010,00,10116,8M,67,EA,EA,1,1,0.25,4.0,AWAIT CATEGORY,LCHTZAD,FJAP,USProdStr,92167L,,B,China,RWEAR,18,1,95,10.81,,,,,,,,,,,,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,
92167XL,SMTH PIQ INDIGO/CORAL,FJPFSH,067300,61052010,00,10116,8M,67,EA,EA,1,1,0.25,4.0,AWAIT CATEGORY,LCHTZAE,FJAP,USProdStr,92167XL,,B,China,RWEAR,18,1,95,10.81,,,,,,,,,,,,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,
92167XXL,SMTH PIQ INDIGO/CORAL,FJPFSH,067300,61052010,00,10116,8M,67,EA,EA,1,1,0.25,4.0,AWAIT CATEGORY,LCHTZAF,FJAP,USProdStr,92167XXL,,B,China,RWEAR,18,1,95,10.81,,,,,,,,,,,,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,
