1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
54162070M,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSBIM,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162075M,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSBJM,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162080M,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSBKM,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162085M,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSBLM,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162090M,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSBMM,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162095M,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSBNM,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162100M,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSBOM,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162105M,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSBPM,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162110M,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSBQM,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162115M,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSBRM,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162120M,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSBSM,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162130M,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSBUM,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162070W,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSCIW,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162075W,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSCJW,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162080W,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSCKW,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162085W,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSCLW,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162090W,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSCMW,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162095W,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSCNW,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162100W,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSCOW,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162105W,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSCPW,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162110W,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSCQW,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162115W,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSCTW,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54162120W,CONTOUR FIT WHITE/BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSCSW,FJ1,030343,54162080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54164070M,CONTOUR FIT BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSEIM,FJ1,030343,54164080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54164075M,CONTOUR FIT BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSEJM,FJ1,030343,54164080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54164080M,CONTOUR FIT BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSEKM,FJ1,030343,54164080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54164085M,CONTOUR FIT BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSELM,FJ1,030343,54164080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54164090M,CONTOUR FIT BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSEMM,FJ1,030343,54164080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54164095M,CONTOUR FIT BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSENM,FJ1,030343,54164080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54164100M,CONTOUR FIT BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSEOM,FJ1,030343,54164080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54164105M,CONTOUR FIT BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSEPM,FJ1,030343,54164080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
54164110M,CONTOUR FIT BLACK/BURG,CONTUR,060300,64031900,00,10118,9S,60,PR,PR,1,12,1,1,AWAIT CATEGORY,KASSEQM,FJ1,030343,54164080M,,B,CHINA,SHOES,17,1,127,33.84,,,,,,,,,,,
