EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
AGDISC,66052QM,WSOF GTX Q-MARK BLK MLH MED,HB,40,EA,10100,311216,1,5.98,,,,Q MARK W/S GTX,C,FGLV
AGDISC,66403QM,WSOF Q-MARK LOGO MLH MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,66405QM,WSOF Q-MARK LOGO MLH MD,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,66415QM,WSOF Q-MARK MLH WTE MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,66422QM,WSOF Q-MARK MLH BLK MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,66436QM,WSOF Q-MARK MLH NAVY MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,66446QM,WSOF Q-MARK LOGO MRH M,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,66464QM,WSOF Q-MARK LOGO MRH MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,66809QM,S/SOF MLH PEARL Q-MARK MED,HA,40,EA,10100,311216,1,8.6,,,,Q MARK STASOF,C,FGLV
AGDISC,66846QM,S/SOF MRH PEARL Q-MARK MED,HA,40,EA,10100,311216,1,8.6,,,,Q MARK STASOF,C,FGLV
AGDISC,66859QM,S/SOF MRH WTE. Q-MARK MD,HA,40,EA,10100,311216,1,8.6,,,,Q MARK STASOF,C,FGLV
AGDISC,67037QM,WSOF GTX Q-MARK GLOVE LLH MED,HB,40,EA,10100,311216,1,5.98,,,,Q MARK W/S GTX,C,FGLV
AGDISC,67805QM,WSOF Q-MARK LOGO LLH MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,67806QM,WSOF Q-MARK LOGO LLH M,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,67812QM,WSOF Q-MARK LOGO LRH MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,67820QM,WSOF Q-MARK LOGO LRH M,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,67823QM,WSOF Q-MARK LOGO LLH WTE MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,67841QM,WSOF Q-MARK LLH TAUPE MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
AGDISC,68006QM,Q-MARK SCIFLEX MLH M,HD,40,EA,10100,311216,1,6.88,,,,Q MARK SCIFLEX,C,FGLV
AGDISC,68009QM,Q-MARK SCIFLEX MLH M,HD,40,EA,10100,311216,1,6.88,,,,Q MARK SCIFLEX,C,FGLV
AGDISC,68304HM,SOFJOY MLH ASST. H/STAMP M,HE,40,EA,10100,311216,1,6.15,,,,AWAIT CATEGORY,C,FGLV
AGDISC,68304QM,SOFJOY Q-MARK LOGO MLH M,HE,40,EA,10100,311216,1,6.15,,,,AWAIT CATEGORY,C,FGLV
AGDISC,68806QM,CABRETTASOF MLH QM MD,HE,40,EA,10100,311216,1,6.15,,,,Q MARK CABRETTA,C,FGLV
AGDISC,68028QM,Q-MARK SCIFLEX MRH M,HD,40,EA,10100,311216,1,6.88,,,,Q MARK SCIFLEX,C,FGLV
