EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
CROWN,68304QM,SOFJOY Q-MARK LOGO MLH M,HE,40,EA,10100,311216,1,6.15,,,,AWAIT CATEGORY,C,FGLV
CROWN,68806QM,CABRETTASOF MLH QM MD,HE,40,EA,10100,311216,1,6.15,,,,Q MARK CABRETTA,C,FGLV
CROWN,66403QM,WSOF Q-MARK LOGO MLH MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,66405QM,WSOF Q-MARK LOGO MLH MD,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,66415QM,WSOF Q-MARK MLH WTE MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,66422QM,WSOF Q-MARK MLH BLK MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,66436QM,WSOF Q-MARK MLH NAVY MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,66446QM,WSOF Q-MARK LOGO MRH M,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,66464QM,WSOF Q-MARK LOGO MRH MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,67805QM,WSOF Q-MARK LOGO LLH MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,67806QM,WSOF Q-MARK LOGO LLH M,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,67812QM,WSOF Q-MARK LOGO LRH MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,67820QM,WSOF Q-MARK LOGO LRH M,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,67823QM,WSOF Q-MARK LOGO LLH WTE MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,67841QM,WSOF Q-MARK LLH TAUPE MED,HG,40,EA,10100,311216,1,4.47,,,,Q MARK W/SOF,C,FGLV
CROWN,68304HM,SOFJOY MLH ASST. H/STAMP M,HE,40,EA,10100,311216,1,6.15,,,,AWAIT CATEGORY,C,FGLV
CROWN,66809QM,S/SOF MLH PEARL Q-MARK MED,HA,40,EA,10100,311216,1,8.6,,,,Q MARK STASOF,C,FGLV
CROWN,66846QM,S/SOF MRH PEARL Q-MARK MED,HA,40,EA,10100,311216,1,8.6,,,,Q MARK STASOF,C,FGLV
CROWN,66859QM,S/SOF MRH WTE. Q-MARK MD,HA,40,EA,10100,311216,1,8.6,,,,Q MARK STASOF,C,FGLV
CROWN,66035QM,WSOF GTX Q-MARK GLOVE MLH MED,HB,40,EA,10100,311216,1,6.15,,,,Q MARK W/S GTX,C,FGLV
CROWN,66044QM,WSOF GTX Q-MARK GLOVE MRH MED,HB,40,EA,10100,311216,1,6.15,,,,Q MARK W/S GTX,C,FGLV
CROWN,66048QM,Q-MARK W/S GTX GLOVES MRH M,HB,40,EA,10100,311216,1,6.15,,,,Q MARK W/S GTX,C,FGLV
CROWN,66052QM,WSOF GTX Q-MARK BLK MLH MED,HB,40,EA,10100,311216,1,6.15,,,,Q MARK W/S GTX,C,FGLV
CROWN,67037QM,WSOF GTX Q-MARK GLOVE LLH MED,HB,40,EA,10100,311216,1,6.15,,,,Q MARK W/S GTX,C,FGLV
CROWN,68006QM,Q-MARK SCIFLEX MLH M,HD,40,EA,10100,311216,1,6.88,,,,Q MARK SCIFLEX,C,FGLV
CROWN,68009QM,Q-MARK SCIFLEX MLH M,HD,40,EA,10100,311216,1,6.88,,,,Q MARK SCIFLEX,C,FGLV
CROWN,68028QM,Q-MARK SCIFLEX MRH M,HD,40,EA,10100,311216,1,6.88,,,,Q MARK SCIFLEX,C,FGLV
CROWN,96175M,PERF.RAINSHIRT BLACK MD,8C,67,EA,10906,311216,1,46.91,,,,AWAIT CATEGORY,M,FJOW
CROWN,96204M,PERF S/S RAINSHIRT BLACK MD,8C,67,EA,10906,311216,1,41.6,,,,AWAIT CATEGORY,M,FJOW
CROWN,96087M,FJ PERF.WIND SHIRT BLK MED,8D,67,EA,10906,311216,1,16.15,,,,AWAIT CATEGORY,M,FJOW
CROWN,96710M,DJ PERF WINDSHIRT BLACK MED,8D,67,EA,10906,311216,1,19.35,,,,AWAIT CATEGORY,C,FJOW
CROWN,96750M,PERF W/SHIRT BLACK MED,8D,67,EA,10906,311216,1,19.35,,,,AWAIT CATEGORY,M,FJOW
CROWN,96760M,FJ PERF W/SHIRT BLACK M,8D,67,EA,10906,311216,1,19.36,,,,FJ P.SH S/S SOL,M,FJOW
CROWN,96800M,PERF S/S W/SHIRT BLACK MED,8D,67,EA,10906,311216,1,19.35,,,,AWAIT CATEGORY,M,FJOW
CROWN,96902M,FJ PERF L/S COLL.SHRT GREY M,8E,67,EA,10906,311216,1,20.77,,,,FJ PERF SH L/S,M,FJOW
CROWN,96951M,PERF S/S COLLD SHIRT WHITE MED,8E,67,EA,10906,311216,1,17.55,,,,AWAIT CATEGORY,M,FJOW
CROWN,96961M,PERF S/S COLL SHRT WHT/NVY M,8E,67,EA,10906,311216,1,17.26,,,,AWAIT CATEGORY,M,FJOW
CROWN,92000-32L,FJ FASH TROUSERS BLACK 32L,8G,67,PR,10906,311216,1,50.89,,,,AWAIT CATEGORY,M,FJOW
CROWN,92010-32L,R/LABEL TROUSERS BLACK 32L,8G,67,EA,10906,311216,1,50.89,,,,AWAIT CATEGORY,M,FJOW
CROWN,90010M,FJ FASHION JACKET BLACK MED,8H,67,EA,10906,311216,1,59.74,,,,AWAIT CATEGORY,M,FJOW
CROWN,90030M,R/LABEL JACKET BLACK MED,8H,67,EA,10906,311216,1,59.74,,,,AWAIT CATEGORY,M,FJOW
CROWN,90060M,R/LBL JKT CHAR/WITH BLK M,8H,67,EA,10906,311216,1,59.74,,,,AWAIT CATEGORY,M,FJOW
CROWN,91000M,FJ FASH RAINSHIRT BLACK MED,8I,67,EA,10906,311216,1,47.79,,,,AWAIT CATEGORY,M,FJOW
CROWN,91021M,R/LABEL RAINSHIRT BLACK  MED,8I,67,EA,10906,311216,1,47.79,,,,AWAIT CATEGORY,M,FJOW
CROWN,91024M,R/LBL R/SHIRT BLK/CHAR M,8I,67,EA,10906,311216,1,47.79,,,,AWAIT CATEGORY,M,FJOW
CROWN,91800M,FJ FASH S/S R/SHIRT BLACK MED,8I,67,EA,10906,311216,1,46.02,,,,AWAIT CATEGORY,C,FJOW
CROWN,91811M,R/LABEL S/S RAINSHIRT BLK MED,8I,67,EA,10906,311216,1,46.02,,,,AWAIT CATEGORY,M,FJOW
CROWN,91814M,R/LBL S/S R/SHIRT TAUPE/BK M,8I,67,EA,10906,311216,1,46.02,,,,AWAIT CATEGORY,M,FJOW
CROWN,94400M,W R/LABEL VEST BLACK MED,8I,67,EA,10906,311216,1,46.8,,,,AWAIT CATEGORY,C,FJOW
CROWN,91500M,FJ FASH LINED W/SHIRT BLK MED,8J,67,EA,10906,311216,1,24.34,,,,AWAIT CATEGORY,M,FJOW
CROWN,91521M,R/LABEL WINDSHIRT BLACK MED,8J,67,EA,10906,311216,1,24.34,,,,AWAIT CATEGORY,M,FJOW
CROWN,91524M,R/LABEL W/SHIRT BLK W/WTE M,8J,67,EA,10906,311216,1,24.34,,,,AWAIT CATEGORY,M,FJOW
CROWN,91900M,FJ FASH SS L/W-SHIRT BK/WT MED,8J,67,EA,10906,311216,1,19.36,,,,AWAIT CATEGORY,C,FJOW
CROWN,91911M,R/LABEL S/S WINDSHIRT BLACK ME,8J,67,EA,10906,311216,1,21.68,,,,AWAIT CATEGORY,C,FJOW
CROWN,91914M,R/LBL S/S W/SHIRT BLK W/WT M,8J,67,EA,10906,311216,1,21.68,,,,AWAIT CATEGORY,M,FJOW
CROWN,94410M,W R/LABEL VEST BLACK/BLUE M,8J,67,EA,10906,311216,1,22.13,,,,AWAIT CATEGORY,M,FJOW
CROWN,94500M,W R/LABEL W/SHIRT BLK/WHT MED,8J,67,EA,10906,311216,1,24.34,,,,AWAIT CATEGORY,M,FJOW
CROWN,94510M,W R/LABEL W/SHIRT BLK/WT/ST M,8J,67,EA,10906,311216,1,24.34,,,,AWAIT CATEGORY,C,FJOW
CROWN,91755M,R/LBL S/S COLL SHRT WT/GR M,8K,67,EA,10906,311216,1,19.36,,,,AWAIT CATEGORY,M,FJOW
CROWN,91760M,R/LBL S/S COLL.SHRT WT/BLK M,8K,67,EA,10906,311216,1,19.36,,,,AWAIT CATEGORY,M,FJOW
CROWN,16760,MENS DRESS SOCK BLACK ARGYLE,95,70,PR,10906,311216,1,3.15,,,,AWAIT CATEGORY,M,SCK1
CROWN,19019,WMNS 2PR CSOF SPORTLET WHT/PK,96,70,PK,10906,311216,1,3.29,,,,AWAIT CATEGORY,M,SCK1
CROWN,19279,WN PRODRY SPTLET WHITE (6),96,70,SIX,10906,311216,1,17.34,,,,P/D EX SPT WM 6,M,SCK1
CROWN,19352,WN PRODRY EXT LOWCUT WHT 1/2DZ,96,70,SIX,10906,311216,1,17.34,,,,P/D EX SPT WM 6,M,SCK1
CROWN,19649,WMNS 2PR CSOF  PORTLET WHT/TPE,96,70,PK,10906,311216,1,3.29,,,,AWAIT CATEGORY,M,SCK1
CROWN,19657,WMNS 2PR CSOF SPORTLET WHT/BLU,96,70,PK,10906,311216,1,3.29,,,,AWAIT CATEGORY,M,SCK1
CROWN,19664,WMNS 2PR CSOF SPORTLET WHT/CR,96,70,PK,10906,311216,1,3.29,,,,AWAIT CATEGORY,M,SCK1
CROWN,15301,MENS COTTONSOF CREW BLK/NVY 6,97,70,PK,10906,311216,1,7.56,,,,AWAIT CATEGORY,C,SCK1
CROWN,18516,MENS COTTON QTR BANDED (3),97,70,PK,10906,311216,1,4.46,,,,AWAIT CATEGORY,M,SCK1
CROWN,18594,MENS COTTON SPORT BANDED(3)PRS,97,70,PK,10906,311216,1,4.46,,,,AWAIT CATEGORY,C,SCK1
CROWN,18750,MENS COTTONSOF BANDED (3),97,70,PK,10906,311216,1,4.46,,,,AWAIT CATEGORY,M,SCK1
CROWN,18976,MENS CSOF SPORT BLOCK,97,70,PK,10906,311216,1,4.46,,,,AWAIT CATEGORY,M,SCK1
