EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
DOLDIST,13805,LADY RIB CREW WHITE,96,70,PR,50600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
DOLDIST,13839,LADY R/TOP ROSE,96,70,PR,50600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
DOLDIST,13862,LADY ROLLTOP SOCK HEATHER,96,70,PR,50600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
DOLDIST,13995,LADY PRO-DRY SOCK   WHITE,96,70,PR,50600,311216,1,5,,SOCK,,AWAIT CATEGORY,M,SCK1
DOLDIST,18136,LADIES SPORTLET WHITE,96,70,PR,50600,311216,1,3.5,,SOCK,,C/SOF SPT PR WM,M,SCK1
DOLDIST,19010,LADY SPORTLET WHITE/CREAM,96,70,PR,50600,311216,1,3.5,,SOCK,,C/SOF SPT PR WM,M,SCK1
DOLDIST,19019,WMNS 2PR CSOF SPORTLET WHT/PK,96,70,PK,50600,311216,1,5.25,,SOCK,,AWAIT CATEGORY,M,SCK1
DOLDIST,19024,LADY SPORTLET WHITE/BLACK,96,70,PR,50600,311216,1,3.5,,SOCK,,C/SOF SPT PR WM,M,SCK1
DOLDIST,19049,LADY SPORTLET WHT/NAVY,96,70,PR,50600,311216,1,3.5,,SOCK,,C/SOF SPT PR WM,M,SCK1
DOLDIST,19053,LADY SPORTLET WHITE/TAUPE,96,70,PR,50600,311216,1,3.5,,SOCK,,C/SOF SPT PR WM,M,SCK1
DOLDIST,19062,LADY SPORTLET WHT/OATMEAL,96,70,PR,50600,311216,1,3.5,,SOCK,,C/SOF SPT PR WM,M,SCK1
DOLDIST,19079,LADY SPORTLET WHT/CELRY,96,70,PR,50600,311216,1,3.5,,SOCK,,C/SOF SPT PR WM,M,SCK1
DOLDIST,19095,LADY SPORTLET WHITE/BLUE,96,70,PR,50600,311216,1,3.5,,SOCK,,C/SOF SPT PR WM,C,SCK1
DOLDIST,19163,LADY CTTN QTR LIGHT BLUE,96,70,PR,50600,311216,1,6,,SOCK,,AWAIT CATEGORY,M,SCK1
DOLDIST,19200,LADY SPORTLET SOCK BLACK,96,70,PR,50600,311216,1,3.5,,SOCK,,C/SOF SPT PR WM,M,SCK1
DOLDIST,19208,WN PRODRY QTR WHT (6),96,70,SIX,50600,311216,1,25.5,,SOCK,,AWAIT CATEGORY,M,SCK1
DOLDIST,19224,LADY COTTON QUARTER  SAND,96,70,PR,50600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
