EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
EUDIST,19588,LADY R/TOP WHT/BORDEAUX,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,19649,WMNS 2PR CSOF  PORTLET WHT/TPE,96,70,PK,110600,311216,1,5.4,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,19657,WMNS 2PR CSOF SPORTLET WHT/BLU,96,70,PK,110600,311216,1,5.4,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,19646,LADY ROLLTOP SOCK WHT/CEL,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,19557,LADIES SPORTLET WHT/YELLOW,96,70,PR,110600,311216,1,3.5,,SOCK,,C/SOF SPT PR WM,M,SCK1
EUDIST,19579,LADY SPORTLET WHT/WEDGEWOOD,96,70,PR,110600,311216,1,3.5,,SOCK,,C/SOF SPT PR WM,M,SCK1
EUDIST,19664,WMNS 2PR CSOF SPORTLET WHT/CR,96,70,PK,110600,311216,1,5.4,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,19695,LADY ROLLTOP SOCK PLUM,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,19703,LADY COTTON QUARTER MAIZE,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,19786,LADY COTTON QUARTER  SAGE,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,19836,LADY RIB CREW STONE,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,19877,LADY R/TOP SOCK    SPRUCE,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,19893,LADY R/TOP WHT/YELL,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,19935,LADY R/TOP BLACK,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,20101,LADY COTTON TURNCUFF WHT,96,70,PR,110600,311216,12,3.4,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,20104,LADY COTTON TURNCUFF MOSS,96,70,PR,110600,311216,12,3.4,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,60061,LADY CTTN TURNCUFF NAVY,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,60062,LADY COTTON TURNCUFF PURP,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,60063,LADY CTTN TURNCUFF SPRUCE,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,60064,LADY COTTON TURNCUFF SAND,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,60065,LADY COTTON ROLLTOP WHITE,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,60066,LADY COTTON ROLLTOP NAVY,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,60068,LADY COTTON ROLLTOP BLACK,96,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,12001,MENS RIB CREW & CREST BLK,95,70,PR,110600,311216,1,6,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,12002,MENS RIB CREW & CREST WHT,95,70,PR,110600,311216,1,5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,12003,MENS RIB CREW & CREST NVY,95,70,PR,110600,311216,1,5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,14000,MENS L/WEIGHT C/CREW BLK,95,70,PR,110600,311216,1,3.5,,SOCK,,AWAIT CATEGORY,M,SCK1
EUDIST,14000C,CREST LW C/CRW BLACK,95,70,PR,110600,311216,1,5.1,,SOCK,,AWAIT CATEGORY,M,SCK1
