New,CarryOver,Description,TRADEUK1
52007/08/09,,FJ Icon Black,162
57001/07,57002,FJ Professional,78.3
53392,53394,DNA 2.0 w/Boa,101.7
53309,53383/85/88,DNA 2.0,91.7
53798/99; 53800,53673/78,DryJoys Tour,83.2
53534,,PRO SL Boa,86.5
53533/84/94,,PRO SL,76.5
51026,,HyperFlex II Boa,89.7
51024/25/31/35,,HyperFlex II,79.7
,62800/01/02,HyperFlex Trainer (Internal Use only),60
57341,,FreeStyle Boa,89.7
57340,57330/33,FreeStyle,79.7
57255,57250/53/54,VersaLuxe,79.7
54159/60,,Contour FIT w/Boa,76.4
54152/53/54/55,,Contour FIT,66.4
,54035/36,Contour (Foremost styles),51.9
54365/66/67/68,,Contour Casual,58.9
58116,,Energize w/Boa,62.4
58107/14/15,,Energize,52.4
50008/27,50052/55,HydroLite 2.0,52.4
,53990,FJ Boot,50.9
57872,57864/65,AWD XL,44.2
57873/74,57868,AWD XL Casual,39.9
58026/27,,FJ Superlites XP,51.9
58176,58118,FJ Superlites CT,38
,45300/01,GreenJoys,31.3
45022,45099,Junior FreeStyle/HyperFlex,29.2
48219,,Junior Girls,24.7
,12450,FirstJoys,162
,52042,MYJOYS - FJ Icon w/Boa,156
,52041/80/10/40,MYJOYS - FJ Icon,146
,52002,MYJOYS - D.N.A. w/Boa,124.5
,52001,MYJOYS - D.N.A.,114.5
,52270; 52300,MYJOYS - FJ Professional,119.9
,53780,MYJOYS - DryJoys Tour,103.7
,54280,MYJOYS - Contour,90.7
,54271,MYJOYS - Contour Casual,90.7
98898,,Aspire Boa,91.2
98895/97,,Aspire,83.2
91692/93,,Tailored Collection,71.3
99017,,DryJoys Boa,79
96108,,emBody Boa,70.1
96102/06,96000; 96100,emBody,62.1
,98004,emPower Boa,61.5
98014/19/20/21,98003,emPower,53.5
97718/21/22/23/24,,Casual Collection,51.3
96109/96110,,emBody FJ Boot,53.5
93913/14/15,93906/08,eMerge Spiked,39.9
,93903/05,eMerge Spikeless,34
95706/07,95703,enJoy,34
,99640,MYJOYS - DryJoys BOA,106.8
,99630,MYJOYS - DryJoys,98.8
,97330,MYJOYS - LoPro,79.8
99643,,MYJOYS - LoPro Casual,79.8
,52604/16,AQL (AG spec),34.6
50032,,HydroLite SL (GolfStore),35
,53956,SoftJoys (Decathlon),33
,93912,eMerge (Decathlon),39
,53834/5,SoftJoys SD (Sports Direct - Mens),31.2
,53836/7,SoftJoys (Sports Direct - Mens),26
,64011,Pure Touch,12.7
6641E/2E/4E; 6650E,,StaSof Star (Tour Only),0
66747E/48E/49E,,StaSof,11.1
60275E/80E; 65703E/12E,60003/37/60/94; 60128/51; 60241/74; 65706/44/51/68/75/91/99; 65702E,FJ Spectrum,9.6
,6620E/1E/2E,SciFlex Tour Star (Tour Only),0
,68007E/12E; 67032E/48E,SciFlex Tour,9
,68026,SciFlex Tour - Assorted 1/2 doz,54
,68828/34/18; 67692; 67693E,CabrettaSof,8.05
,,Contour FLX,0
64815E/16E/18E/20E/22E/24E/53E/60E/70E,,GTxtreme,7.35
64821E/50E,,GTxtreme - Fashion1/2 doz,44.1
66820E; 67882E,66241E/58E/70E/79E; 67860E/88E; 67901E/02E,WeatherSof ,5.2
,66294; 67800,WeatherSof - Fashion 1/2 doz,31.2
,66409E/13E; 67478E,WeatherSof - 2-glove,8.7
,66432E,WeatherSof - 3-glove (1 x 3-Fer),12.5
,66432/53; 67496,WeatherSof - 3-glove (Pk = 6 x 3-Fers),75
