EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
MCCLE,92310-30-29,PLAID TRSR NVY/CHA/LT.B/GRY,8Q,67,PR,10112,311216,1,31.5,,,,AWAIT CATEGORY,M,FJAP
MCCLE,95848M,WMNS MRNO VNECK BRY,8O,67,EA,10112,311216,1,35.06,,,,AWAIT CATEGORY,M,FJAP
MCCLE,12641,CUSTOM PDE MN CREW DZ BLACK,88,70,DZ,10112,311216,1,64.24,,,,P/D EX QTR WM 6,C,SCK1
MCCLE,16008,MN PRODRY CREW BLK PR,95,70,PR,10112,311216,1,22.53,,,,L/W P/D EX CR 6,M,SCK1
MCCLE,16219B,MEN PRO DRY EXT QTR WHT C/BAND,88,70,SIX,10112,311216,1,20.15,,,,AWAIT CATEGORY,C,SCK1
MCCLE,19221,PDE WN LTWT QTR WHT PR,96,70,PR,10112,311216,1,17.25,,,,P/D EX QTR WM 6,M,SCK1
MCCLE,19603,PDE WN LWT POMPOM HD BLACK,96,70,SIX,10112,311216,1,17.25,,,,AWAIT CATEGORY,M,SCK1
MCCLE,3301,FJ WAX POLISH BLACK   (6),98,80,PK,10112,311216,1,8.18,,,,AWAIT CATEGORY,C,FJAC
MCCLE,35521,FJ DELUXE SHOEBAG,98,80,EA,10112,311216,1,13.02,,,,AWAIT CATEGORY,M,FJAC
MCCLE,45404070M,GREENJOYS WHT/DK BRN/BRONZE,9P,60,PR,10112,311216,1,26.51,,,,AWAIT CATEGORY,M,FJ1
MCCLE,50077070M,HYDROLITE BOA WHITE/SILVER,9K,60,PR,10112,311216,1,50.69,,,,AWAIT CATEGORY,M,FJ1
MCCLE,52250,MYJOYS FJ ICON PYRAMID SADDLE,89,60,PR,10112,311216,1,131,,,,MYJOYS DRYJOYS,C,NSDS
MCCLE,53222080M,FJ SPORT MN LIME/BLACK,9J,60,PR,10112,311216,1,40.14,,,,AWAIT CATEGORY,M,FJ1
MCCLE,53577070M,DRYJOYS CASUAL MENS ALL BLACK,9H,60,PR,10112,311216,1,64.17,,,,AWAIT CATEGORY,M,FJ1
MCCLE,53719070M,DRYJOY TR BOA MENS WHT/GRY LIZ,9H,60,PR,10112,311216,1,75.7,,,,AWAIT CATEGORY,M,FJ1
MCCLE,54019070M,CONTOUR MENS WHT/BLK/BLK,9S,60,PR,10112,311216,1,56.54,,,,AWAIT CATEGORY,M,FJ1
MCCLE,54280,MYJOYS CONTOUR,89,60,PR,10112,311216,1,84,,,,MYJOYS DRYJOYS,M,NSDS
MCCLE,55117080M,MPROJECT MENS WHITE/BLUE,9X,60,PR,10112,311216,1,58.03,,,,AWAIT CATEGORY,M,FJ1
MCCLE,56401080M,FJ CITY TAN/CRIMSON PLN TOE,9U,60,PR,10112,311216,1,64.17,,,,AWAIT CATEGORY,M,FJ1
MCCLE,60003M,SPECTRUM MLH GRN M,4M,40,EA,10112,311216,1,8.24,,,,STASOF,M,FGLV
MCCLE,64817M,GTXTREME MLH CADET M,4E,40,EA,10112,311216,1,5.87,,,,AWAIT CATEGORY,M,FGLV
MCCLE,66320M,W-SOF GLOVE MLH ASS M,4F,40,EA,10112,311216,1,4.09,,,,CABRETTASOF,M,FGLV
MCCLE,66564M,RAINGRIP XTREME MRH M,4G,40,EA,10112,311216,1,6.66,,,,RAINGRIP EXTREM,M,FGLV
MCCLE,67402M,WINTERSOF LADIES PRS M,4J,40,PR,10112,311216,1,10.4,,,,CABRETTASOF,M,FGLV
MCCLE,67838M,W-SOF GLOVE LADIES PRS M,4F,40,PR,10112,311216,1,7.66,,,,STASOF,M,FGLV
MCCLE,91219M,PERF PIQUE SOLID PERI,8M,67,EA,10112,311216,1,16.56,,,,AWAIT CATEGORY,M,FJAP
MCCLE,91247M,LISLE SOLID W/TIP WHT/H.PNK,8M,67,EA,10112,311216,1,18.9,,,,AWAIT CATEGORY,M,FJAP
MCCLE,91272M,PIQ D.COLLAR STRP MRN W/WHT,8M,67,EA,10112,311216,1,19.71,,,,AWAIT CATEGORY,M,FJAP
MCCLE,91293M,PIQUE SOLID SEAFOAM,8M,67,EA,10112,311216,1,17.06,,,,AWAIT CATEGORY,M,FJAP
MCCLE,91731M,PIQ D.COLLAR STRP WHT W/RED,8M,67,EA,10112,311216,1,19.71,,,,AWAIT CATEGORY,M,FJAP
MCCLE,92218-30-31,CHECK TRSR STN/WHT W/MST,8Q,67,PR,10112,311216,1,35.46,,,,AWAIT CATEGORY,M,FJAP
MCCLE,92248-30-29,PERF CORDUROY TRSR GRN,8Q,67,EA,10112,311216,1,27.72,,,,AWAIT CATEGORY,M,FJAP
