EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
MCGUIRK,S62-FW,FITTING WORKS GOLF BAG,84,55,EA,10100,311216,1,50,,,,AWAIT CATEGORY,C,TBAG
MCGUIRK,85920,TITLEIST PRO V1 CAP DOZEN,85,50,DZ,10100,311216,1,74,,,,AWAIT CATEGORY,M,TACC
MCGUIRK,85920A,TITLEIST PRO V1 CAP EACH,85,50,EA,10100,311216,1,6.17,,,,AWAIT CATEGORY,M,TACC
MCGUIRK,8593,TITLEIST DELUXE TOWEL,85,50,EA,10100,311216,1,6.5,,,,AWAIT CATEGORY,M,TACC
MCGUIRK,85930A,TITL & FJ JUNIOR CAP EACH,85,50,EA,10100,311216,1,4.33,,,,AWAIT CATEGORY,M,TACC
MCGUIRK,85940,TITLEIST UNIFIT VISOR DOZEN,85,50,DZ,10100,311216,1,58,,,,AWAIT CATEGORY,M,TACC
MCGUIRK,66544M,RAIN-GRIP GLOVE MRH MED,4G,40,EA,10100,311216,1,4.9,,,,RAINGRIP EXTREM,M,FGLV
MCGUIRK,67236M,R/GRIP EXTREME LLH MED,4G,40,EA,10100,311216,1,4.9,,,,RAINGRIP EXTREM,M,FGLV
MCGUIRK,67244M,R/GRIP EXTREME WOMENS PRS MED,4G,40,PR,10100,311216,1,7.7,,,,R/GRIP EXT PAIR,M,FGLV
MCGUIRK,66100,ASSORTED WEATHERSOF GLOVE,4F,40,EA,10100,311216,1,4.3,,,,AWAIT CATEGORY,M,FGLV
MCGUIRK,66209XL,WEATHERSOF ASST MRH      XL,4F,40,EA,10100,311216,1,4.3,,,,AWAIT CATEGORY,M,FGLV
MCGUIRK,66301M,WEATHERSOF MLH FASH(6) MED,4F,40,SIX,10100,311216,1,25.8,,,,WEATHERSOF,M,FGLV
MCGUIRK,66373M,WEATHERSOF MLH BLCK/NVY MED,4F,40,EA,10100,311216,1,4.3,,,,WEATHERSOF,C,FGLV
MCGUIRK,66374,WEATHERSOF GLOVE MENS PRS,4F,40,PK,10100,311216,1,45,,,,WEATHERSOF PAIR,M,FGLV
