Code,PriceList,OldPrice,NewPrice,
92250-32,TRADEUK1,25,99.99,
92251-32,TRADEUK1,25,99.99,
92252-32,TRADEUK1,25,99.99,
92253-32,TRADEUK1,25,99.99,
95380M,TRADEUK1,31.5,99.99,
95381M,TRADEUK1,31.5,99.99,
95382M,TRADEUK1,31.5,99.99,
95370M,TRADEUK1,35,99.99,
95371M,TRADEUK1,35,99.99,
95372M,TRADEUK1,35,99.99,
95373M,TRADEUK1,35,99.99,
95374M,TRADEUK1,35,99.99,
95390M,TRADEUK1,47.5,99.99,
95391M,TRADEUK1,47.5,99.99,
95392M,TRADEUK1,47.5,99.99,
95388M,TRADEUK1,47.5,99.99,
95386M,TRADEUK1,35,99.99,
92258-30,TRADEUK1,25,99.99,
95425L,TRADEUK1,37.5,99.99,
95425M,TRADEUK1,37.5,99.99,
95425S,TRADEUK1,37.5,99.99,
95425XL,TRADEUK1,37.5,99.99,
95425XXL,TRADEUK1,37.5,99.99,
95426L,TRADEUK1,37.5,99.99,
95426M,TRADEUK1,37.5,99.99,
95426S,TRADEUK1,37.5,99.99,
95426XL,TRADEUK1,37.5,99.99,
95426XXL,TRADEUK1,37.5,99.99,
95427L,TRADEUK1,37.5,99.99,
95427M,TRADEUK1,37.5,99.99,
95427S,TRADEUK1,37.5,99.99,
95427XL,TRADEUK1,37.5,99.99,
95427XXL,TRADEUK1,37.5,99.99,
95428L,TRADEUK1,37.5,99.99,
95428M,TRADEUK1,37.5,99.99,
95428S,TRADEUK1,37.5,99.99,
95428XL,TRADEUK1,37.5,99.99,
95428XXL,TRADEUK1,37.5,99.99,
95429L,TRADEUK1,37.5,99.99,
95429M,TRADEUK1,37.5,99.99,
95429S,TRADEUK1,37.5,99.99,
95429XL,TRADEUK1,37.5,99.99,
95429XXL,TRADEUK1,37.5,99.99,
95088S,TRADEUK1,23.9,99.99,
95089S,TRADEUK1,23.9,99.99,
95097S,TRADEUK1,25.9,99.99,
95098S,TRADEUK1,25.9,99.99,
95418S,TRADEUK1,35,99.99,
95419S,TRADEUK1,35,99.99,
92176S,TRADEUK1,31.9,99.99,
92177S,TRADEUK1,31.9,99.99,
92178S,TRADEUK1,31.9,99.99,
