EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
SPORTSW,67037QM,WSOF GTX Q-MARK GLOVE LLH MED,HB,40,EA,10100,311216,1,6.22,,,,Q MARK W/S GTX,C,FGLV
SPORTSW,68006QM,Q-MARK SCIFLEX MLH M,HD,40,EA,10100,311216,1,6.96,,,,Q MARK SCIFLEX,C,FGLV
SPORTSW,68009QM,Q-MARK SCIFLEX MLH M,HD,40,EA,10100,311216,1,6.96,,,,Q MARK SCIFLEX,C,FGLV
SPORTSW,33507,KLEATKADDY,98,80,EA,10100,311216,1,7.29,,,,AWAIT CATEGORY,M,FJAC
SPORTSW,35521F,FOOTJOY SHOE BAG CORP.CRESTED,98,80,EA,10100,311216,1,13.32,,,,AWAIT CATEGORY,M,FJAC
SPORTSW,16704,MN PRODRY SPORT WHT PR,95,70,PR,10100,311216,1,19.71,,,,L/W P/D EX SP 6,M,SCK1
SPORTSW,68028QM,Q-MARK SCIFLEX MRH M,HD,40,EA,10100,311216,1,6.96,,,,Q MARK SCIFLEX,C,FGLV
SPORTSW,68304QM,SOFJOY Q-MARK LOGO MLH M,HE,40,EA,10100,311216,1,6.24,,,,AWAIT CATEGORY,C,FGLV
SPORTSW,68806QM,CABRETTASOF MLH QM MD,HE,40,EA,10100,311216,1,6.22,,,,Q MARK CABRETTA,C,FGLV
SPORTSW,66403QM,WSOF Q-MARK LOGO MLH MED,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,66405QM,WSOF Q-MARK LOGO MLH MD,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,66415QM,WSOF Q-MARK MLH WTE MED,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,66422QM,WSOF Q-MARK MLH BLK MED,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,35516F,FOOTJOY HOLDALL CORP.CRESTED,98,80,EA,10100,311216,1,29.7,,,,AWAIT CATEGORY,M,FJAC
SPORTSW,52672080M,AQL BLACK SHIELD TIP,9K,60,PR,10100,311216,1,39.59,,,,AQL WM,M,FJ1
SPORTSW,68304HM,SOFJOY MLH ASST. H/STAMP M,HE,40,EA,10100,311216,1,6.24,,,,AWAIT CATEGORY,C,FGLV
SPORTSW,PERS,VINYL BAG PERSONALISATION,85,50,EA,10100,311216,1,12.5,,,,AWAIT CATEGORY,M,NADS
SPORTSW,QM12,Q-MARK BALL MARKERS (DZ),80,40,DZ,10100,311216,1,8.7,,,,AWAIT CATEGORY,C,NADS
SPORTSW,66436QM,WSOF Q-MARK MLH NAVY MED,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,66446QM,WSOF Q-MARK LOGO MRH M,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,66464QM,WSOF Q-MARK LOGO MRH MED,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,67805QM,WSOF Q-MARK LOGO LLH MED,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,67806QM,WSOF Q-MARK LOGO LLH M,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,67812QM,WSOF Q-MARK LOGO LRH MED,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,67820QM,WSOF Q-MARK LOGO LRH M,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,67823QM,WSOF Q-MARK LOGO LLH WTE MED,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,67841QM,WSOF Q-MARK LLH TAUPE MED,HG,40,EA,10100,311216,1,4.52,,,,Q MARK W/SOF,C,FGLV
SPORTSW,66809QM,S/SOF MLH PEARL Q-MARK MED,HA,40,EA,10100,311216,1,8.69,,,,Q MARK STASOF,C,FGLV
SPORTSW,66846QM,S/SOF MRH PEARL Q-MARK MED,HA,40,EA,10100,311216,1,8.69,,,,Q MARK STASOF,C,FGLV
SPORTSW,66859QM,S/SOF MRH WTE. Q-MARK MD,HA,40,EA,10100,311216,1,8.69,,,,Q MARK STASOF,C,FGLV
SPORTSW,66035QM,WSOF GTX Q-MARK GLOVE MLH MED,HB,40,EA,10100,311216,1,6.22,,,,Q MARK W/S GTX,C,FGLV
SPORTSW,66044QM,WSOF GTX Q-MARK GLOVE MRH MED,HB,40,EA,10100,311216,1,6.22,,,,Q MARK W/S GTX,C,FGLV
SPORTSW,66048QM,Q-MARK W/S GTX GLOVES MRH M,HB,40,EA,10100,311216,1,6.22,,,,Q MARK W/S GTX,C,FGLV
SPORTSW,66052QM,WSOF GTX Q-MARK BLK MLH MED,HB,40,EA,10100,311216,1,6.22,,,,Q MARK W/S GTX,C,FGLV
SPORTSW,48415080M,GREENJOYS WHITE/NAVY,9P,60,PR,10906,311216,1,20,,,,GREENJOYS,M,FJ1
SPORTSW,51757070D,CLASSIC TOUR BLACK/BLACK,9A,60,PR,10906,311216,1,145.6,,,,CLASSIC MN,M,FJ1
