EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
TRADENK,19208,WN PRODRY QTR WHT (6),96,70,SIX,10500,311216,1,255,,,,AWAIT CATEGORY,M,SCK1
TRADENK,19527,WN PRODRY LW LCUT BLK (6),96,70,SIX,10500,311216,1,237,,,,AWAIT CATEGORY,M,SCK1
TRADENK,90030M,R/LABEL JACKET BLACK MED,8H,67,EA,80600,311216,1,880,,,,AWAIT CATEGORY,M,FJOW
TRADENK,92000-32L,FJ FASH TROUSERS BLACK 32L,8G,67,PR,80600,311216,1,750,,,,AWAIT CATEGORY,M,FJOW
TRADENK,92010-32L,R/LABEL TROUSERS BLACK 32L,8G,67,EA,80600,311216,1,750,,,,AWAIT CATEGORY,M,FJOW
TRADENK,35130M,WINTERSOF FLEECE CHARCOAL MD,8E,67,EA,80600,311216,1,495,,,,AWAIT CATEGORY,M,FJOW
TRADENK,93510M,FJ PERF. MOCK BLACK M,8E,67,EA,80600,311216,1,270,,,,AWAIT CATEGORY,M,FJOW
TRADENK,96951M,PERF S/S COLLD SHIRT WHITE MED,8E,67,EA,80600,311216,1,255,,,,AWAIT CATEGORY,M,FJOW
TRADENK,97010M,D/CLIM. FLEECE GREY/BLK MD,8E,67,EA,80600,311216,1,400,,,,AWAIT CATEGORY,M,FJOW
TRADENK,35151M,LINED WINDSHIRT SAGE PLAID M,8D,67,EA,80600,311216,1,400,,,,AWAIT CATEGORY,C,FJOW
TRADENK,96087M,FJ PERF.WIND SHIRT BLK MED,8D,67,EA,80600,311216,1,240,,,,AWAIT CATEGORY,M,FJOW
TRADENK,96190M,S/SLEEVE WINDSHIRT BLACK MD,8D,67,EA,80600,311216,1,230,,,,AWAIT CATEGORY,M,FJOW
TRADENK,96196M,FJ S/SLVE WINDSHIRT BLACK MED,8D,67,EA,80600,311216,1,230,,,,AWAIT CATEGORY,C,FJOW
TRADENK,96710M,DJ PERF WINDSHIRT BLACK MED,8D,67,EA,80600,311216,1,240,,,,AWAIT CATEGORY,C,FJOW
TRADENK,96750M,PERF W/SHIRT BLACK MED,8D,67,EA,80600,311216,1,285,,,,AWAIT CATEGORY,M,FJOW
TRADENK,96800M,PERF S/S W/SHIRT BLACK MED,8D,67,EA,80600,311216,1,265,,,,AWAIT CATEGORY,M,FJOW
TRADENK,96175M,PERF.RAINSHIRT BLACK MD,8C,67,EA,80600,311216,1,680,,,,AWAIT CATEGORY,M,FJOW
TRADENK,96185M,DJ S/SLVE SHIRT BLK/SS MD,8C,67,EA,80600,311216,1,590,,,,AWAIT CATEGORY,M,FJOW
TRADENK,96200M,DJ S/SLVE R/SHIRT BLACK MED,8C,67,EA,80600,311216,1,590,,,,AWAIT CATEGORY,M,FJOW
TRADENK,96204M,PERF S/S RAINSHIRT BLACK MD,8C,67,EA,80600,311216,1,595,,,,AWAIT CATEGORY,M,FJOW
TRADENK,35198M,WOMENS LIGHT RAIN JKT S/STN MD,8B,67,EA,80600,311216,1,680,,,,AWAIT CATEGORY,C,FJOW
TRADENK,35205M,WOMENS LIGHT RAIN TRS BLK MD,8B,67,EA,80600,311216,1,525,,,,AWAIT CATEGORY,M,FJOW
TRADENK,93011M,DJ PERF.JKT ZO SLVE BK/SS M,8B,67,EA,80600,311216,1,1050,,,,AWAIT CATEGORY,M,FJOW
TRADENK,94000M,W R/LABEL JACKET BLK/BLUE MED,8B,67,EA,80600,311216,1,880,,,,AWAIT CATEGORY,M,FJOW
TRADENK,95210M,DJ RAIN JKT BLACK MD,8B,67,EA,80600,311216,1,925,,,,AWAIT CATEGORY,M,FJOW
TRADENK,95260M,DJ PERF JACKET BLACK MED,8B,67,EA,80600,311216,1,925,,,,AWAIT CATEGORY,M,FJOW
TRADENK,95440M,DJ PERF LIGHT JKT BLACK MED,8B,67,PR,80600,311216,1,680,,,,AWAIT CATEGORY,M,FJOW
TRADENK,96011M,FJ RAIN JACKET BLK/GRN MED,8B,67,EA,80600,311216,1,925,,,,AWAIT CATEGORY,M,FJOW
TRADENK,94300M,W R/LABEL TROUSERS BLACK  MED,8A,67,PR,80600,311216,1,750,,,,AWAIT CATEGORY,M,FJOW
TRADENK,95050M-31,DJ PERF TROUSERS BLACK M-31,8A,67,PR,80600,311216,1,770,,,,DJ PERF L/R TRS,M,FJOW
TRADENK,95610M,DL LIGHT RAIN TRS. BLACK M,8A,67,EA,80600,311216,1,525,,,,AWAIT CATEGORY,M,FJOW
