EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
TRADESF,5730,F-JOY GUSTBUSTER UMBRELLA,98,80,EA,90600,311216,1,68,,,,AWAIT CATEGORY,M,FJAC
TRADESF,5750,DJ DOUBLE CANOPY UMBRELLA,98,80,EA,90600,311216,1,37,,,,AWAIT CATEGORY,M,FJAC
TRADESF,57725080M,ECOMFORT HORWEEN BROWN,9D,60,PR,90600,311216,1,46,,,,SUMMER S. ECOMF,M,FJ1
TRADESF,57760080M,ECOMFORT WHITE/HORWEEN BROWN,9D,60,PR,90600,311216,1,51,,,,SUMMER S. ECOMF,M,FJ1
TRADESF,60030,CASUAL ARGYLE SOCK  BLACK,95,70,PR,90600,311216,1,8,,,,AWAIT CATEGORY,M,SCK1
TRADESF,60031,CASUAL ARGYLE SOCK   NAVY,95,70,PR,90600,311216,1,8,,,,AWAIT CATEGORY,M,SCK1
TRADESF,60032,CASUAL ARGYLE SOCK   BURG,95,70,PR,90600,311216,1,8,,,,AWAIT CATEGORY,M,SCK1
TRADESF,60033,MENS CASUAL ARGYLE NATURAL,95,70,PR,90600,311216,1,8,,,,AWAIT CATEGORY,M,SCK1
TRADESF,60034,MENS CASUAL ARGYLE TAUPE,95,70,PR,90600,311216,1,8,,,,AWAIT CATEGORY,M,SCK1
TRADESF,60061,LADY CTTN TURNCUFF NAVY,96,70,PR,90600,311216,1,5.7,,,,AWAIT CATEGORY,M,SCK1
TRADESF,60062,LADY COTTON TURNCUFF PURP,96,70,PR,90600,311216,1,5.7,,,,AWAIT CATEGORY,M,SCK1
TRADESF,BTVS06A-9E,TITLEIST UNIFIT VISOR EACH,85,50,EA,90600,311216,1,12.67,,,,AWAIT CATEGORY,M,TACC
TRADESF,60063,LADY CTTN TURNCUFF SPRUCE,96,70,PR,90600,311216,1,5.7,,,,AWAIT CATEGORY,M,SCK1
TRADESF,60064,LADY COTTON TURNCUFF SAND,96,70,PR,90600,311216,1,5.7,,,,AWAIT CATEGORY,M,SCK1
TRADESF,60065,LADY COTTON ROLLTOP WHITE,96,70,PR,90600,311216,1,5.7,,,,AWAIT CATEGORY,M,SCK1
TRADESF,60066,LADY COTTON ROLLTOP NAVY,96,70,PR,90600,311216,1,5.7,,,,AWAIT CATEGORY,M,SCK1
TRADESF,60067,LADY COTTON ROLLTOP SNOWCAP,96,70,PR,90600,311216,1,5.7,,,,AWAIT CATEGORY,M,SCK1
TRADESF,60068,LADY COTTON ROLLTOP BLACK,96,70,PR,90600,311216,1,5.7,,,,AWAIT CATEGORY,M,SCK1
TRADESF,60100,602ELS PB-RENTAL CART,31,50,PR,90600,311216,1,29,,,,AWAIT CATEGORY,C,NODS
TRADESF,61332,PLAYERS-TECH GLVE MLH MED,74,45,EA,90600,311216,1,18,,,,PLAYERS,M,TGLV
TRADESF,61352,PLAYERS-TECH CADET MLH MED,74,45,EA,90600,311216,1,18,,,,PLAYERS,M,TGLV
TRADESF,61362,PLAYERS-TECH GLVE MRH MED,74,45,EA,90600,311216,1,18,,,,PLAYERS,M,TGLV
TRADESF,61382,PLAYERS-TECH GLVE LLH MED,74,45,EA,90600,311216,1,18,,,,PLAYERS,M,TGLV
TRADESF,6150SH,CLASSICS DRY PREMIER CARD,99,99,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,C,NFDS
TRADESF,6151SH,GELFUSION INSERT CARDS,99,99,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,C,NFDS
TRADESF,6155SH,ECOMFORT INSERT CARDS,99,99,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,C,NFDS
TRADESF,6156SH,GREENJOYS INSERT CARDS,99,99,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,NFDS
TRADESF,6157SH,DESIGNER COLL INSERT CARD,99,99,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,C,NFDS
TRADESF,6160SH,LADIES DRYJOYS INSERT CARDS,99,99,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,NFDS
TRADESF,6161SH,LADIES EUROPA INSERT CARDS,99,99,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,NFDS
TRADESF,6163SH,LADIES ECOMFORT INSERT CARDS,99,99,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,NFDS
TRADESF,6164SH,LADIES GREENJOYS INSERT CARDS,99,99,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,NFDS
TRADESF,63332,PERMA-TECH GLOVE MLH MD,79,45,EA,90600,311216,1,15,,,,AWAIT CATEGORY,M,TGLV
TRADESF,63372,PERMA-TECH GLOVE MRH MD,79,45,EA,90600,311216,1,15,,,,AWAIT CATEGORY,M,TGLV
TRADESF,63382,PERMA-TECH GLOVE LLH MD,79,45,EA,90600,311216,1,15,,,,AWAIT CATEGORY,M,TGLV
TRADESF,63400,PERMA-TECH GLOVE 6 DOZEN PACK,79,45,PK,90600,311216,1,1080,,,,AWAIT CATEGORY,C,TGLV
TRADESF,64033M,SPIDER GLOVE MLH MEDIUM,4X,40,EA,90600,311216,1,24,,,,AWAIT CATEGORY,M,FGLV
TRADESF,64208M,SPIDER GLOVE MLH MEDIUM,4X,40,EA,90600,311216,1,22,,,,AWAIT CATEGORY,C,FGLV
TRADESF,64359M,DRYICE GLOVE MLH MEDIUM,4P,40,EA,90600,311216,1,19,,,,AWAIT CATEGORY,M,FGLV
TRADESF,64745M,DRYICE GLOVE LLH MEDIUM,4P,40,EA,90600,311216,1,19,,,,AWAIT CATEGORY,M,FGLV
TRADESF,65542,PERMASOFT GLV MLH BLACK MED,77,45,EA,90600,311216,1,10.45,,,,PERMA-SOFT,M,TGLV
TRADESF,65572,PERMASOFT GLOVE MRH MED,77,45,EA,90600,311216,1,10.45,,,,PERMA-SOFT,M,TGLV
TRADESF,65929M,JUNIOR GLOVE ASST COLS MED,4H,40,EA,90600,311216,1,7.5,,,,FOOTJOY JUNIOR,M,FGLV
TRADESF,66000,WEATHER-SOF GTX ASST.,4E,40,EA,90600,311216,1,12,,,,WEATHERSOF GTX,C,FGLV
TRADESF,66005M,WTHR-SOF GTX MLH ASST. MED,4E,40,EA,90600,311216,1,12,,,,WEATHERSOF GTX,M,FGLV
TRADESF,66011M,WTHR-SOF GTX MLH ASST. MD,4E,40,EA,90600,311216,1,12,,,,WEATHERSOF GTX,C,FGLV
TRADESF,66034HM,H/STAMP GTX MLH MD,HG,40,EA,90600,311216,1,16,,,,AWAIT CATEGORY,C,FGLV
TRADESF,66034M,FJ WTHSOF GTX GLV MLH ASST. MD,4E,40,EA,90600,311216,1,12,,,,WEATHERSOF GTX,M,FGLV
TRADESF,66035M,FJ GTX GLOVE MLH ASST MED,4E,40,EA,90600,311216,1,12,,,,WEATHERSOF GTX,M,FGLV
TRADESF,66043HM,W-SOF GTX HOT STAMP MRH M,HG,40,EA,90600,311216,1,16,,,,AWAIT CATEGORY,C,FGLV
TRADESF,66044M,FJ GTX GLOVE MRH ASSTD MED,4E,40,EA,90600,311216,1,12,,,,WEATHERSOF GTX,M,FGLV
TRADESF,66048M,FJ WTHSOF GTX GLV MRH ASST. MD,4E,40,EA,90600,311216,1,12,,,,WEATHERSOF GTX,M,FGLV
TRADESF,66052M,FJ GTX GLOVE MLH BLACK MED,4E,40,EA,90600,311216,1,12,,,,WEATHERSOF GTX,M,FGLV
TRADESF,66061,FJ WTHSOF GTX 6 DOZEN DISPLAY,4E,40,PK,90600,311216,1,864,,,,AWAIT CATEGORY,M,FGLV
TRADESF,66067M,FJ WTHSOF GTX GLV MLH BLACK MD,4E,40,EA,90600,311216,1,12,,,,WEATHERSOF GTX,M,FGLV
TRADESF,66069M,WTHR-SOF GTX MLH CADET MED,4E,40,EA,90600,311216,1,12,,,,WEATHERSOF GTX,C,FGLV
TRADESF,66100,ASSORTED WEATHERSOF GLOVE,4F,40,EA,90600,311216,1,9,,,,AWAIT CATEGORY,M,FGLV
TRADESF,66172M,TROPICOOL GLOVE MRH MED,4Y,40,EA,90600,311216,1,13,,,,AWAIT CATEGORY,C,FGLV
TRADESF,CBALLMTR,COBRA BALL SPEED METER,C8,97,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,CMET
TRADESF,66205M,STA SOF STAR MLH MD,4A,40,EA,90600,311216,1,21,,,,STASOF,M,FGLV
TRADESF,66209XL,WEATHERSOF ASST MRH      XL,4F,40,EA,90600,311216,1,9,,,,AWAIT CATEGORY,M,FGLV
TRADESF,66210M,STA SOF STAR MLH MEDIUM,4A,40,EA,90600,311216,1,21,,,,STASOF,M,FGLV
TRADESF,66218M,STA SOF STAR MLH CADET MD,4A,40,EA,90600,311216,1,21,,,,STASOF,M,FGLV
TRADESF,CCXQ9SR,CXI MRH GRAPH 3-SW ST REG,C1,25,ST,90600,311216,1,1062,,,,AWAIT CATEGORY,M,CIRN
TRADESF,66225HL,WSOF MLH HOT STMP LOGO  LGE,HG,40,EA,90600,311216,1,12,,,,AWAIT CATEGORY,C,FGLV
TRADESF,66233M,STA SOF STAR CADET MLH MEDIUM,4A,40,EA,90600,311216,1,21,,,,STASOF,M,FGLV
TRADESF,66374,WEATHERSOF GLOVE MENS PRS,4F,40,PK,90600,311216,1,192,,,,WEATHERSOF PAIR,M,FGLV
TRADESF,CGBOF15A,GB O/SET FAIRWAY 15.5 MASS,C3,25,EA,90600,311216,1,248,,,,AWAIT CATEGORY,M,CMET
TRADESF,66386HXL,WEATHERGRIP LOGO       XL,HJ,40,EA,90600,311216,1,14,,,,AWAIT CATEGORY,C,FGLV
TRADESF,66403M,WEATHERSOF MLH ASST.MED,4F,40,EA,90600,311216,1,9,,,,WEATHERSOF,M,FGLV
TRADESF,66405M,WEATHERSOF MLH ASST   MED,4F,40,EA,90600,311216,1,9,,,,WEATHERSOF,M,FGLV
TRADESF,66415M,WEATHESOF MLH WHITE MED,4F,40,EA,90600,311216,1,9,,,,WEATHERSOF,M,FGLV
TRADESF,66420M,WEATHERSOF MLH CADET MED,4F,40,EA,90600,311216,1,9,,,,WEATHERSOF,C,FGLV
TRADESF,66422M,WEATHERSOF MLH BLACK MED,4F,40,EA,90600,311216,1,9,,,,WEATHERSOF,M,FGLV
TRADESF,66426HM,WTHSOF MLH BLACK MED H/S,HG,40,EA,90600,311216,1,11.4,,,,AWAIT CATEGORY,C,FGLV
TRADESF,COBCATENG,COBRA TRADE CATALOGUE,C8,97,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,CACC
TRADESF,66436M,WEATHESOF MLH NAVY MED,4F,40,EA,90600,311216,1,9,,,,WEATHERSOF,M,FGLV
TRADESF,66446M,WEATHERSOF MRH ASST   MED,4F,40,EA,90600,311216,1,9,,,,WEATHERSOF,M,FGLV
TRADESF,66447M,W/SOF MENS 2-FER PACK MED,4F,40,PK,90600,311216,1,14.5,,,,WEATHERSOF PAIR,M,FGLV
TRADESF,COBDCHANG,COB. DRIVER CEILING HANGER ENG,C8,97,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,CACC
TRADESF,66450,WEATHERSOF MLH 6 DZ L/PACK,4F,40,PK,90600,311216,1,648,,,,AWAIT CATEGORY,M,FGLV
TRADESF,COBDSCARD,COBRA DRIVER SHOWCARD,C8,97,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,CACC
TRADESF,66464M,WEATHERSOF MRH ASSTD MED,4F,40,EA,90600,311216,1,9,,,,WEATHERSOF,M,FGLV
TRADESF,66478M,WEATHERSOF MRH WHITE MED,4F,40,EA,90600,311216,1,9,,,,WEATHERSOF,M,FGLV
TRADESF,COBFITPAD,COBRA FITTING PAD,C8,97,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,CACC
TRADESF,66481M,WEATHERSOF MRH BLACK MED,4F,40,EA,90600,311216,1,9,,,,WEATHERSOF,M,FGLV
TRADESF,66499,W/SOF 2-FER 3 DZ PROMO PACK,4F,40,PK,90600,311216,1,522,,,,AWAIT CATEGORY,M,FGLV
TRADESF,66507M,R/GRIP EXTREME MLH MED,4G,40,EA,90600,311216,1,10,,,,RAINGRIP EXTREM,M,FGLV
TRADESF,COBIRACK,COBRA IRONS RACK,C8,97,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,CACC
TRADESF,66515M,R/GRIP EXTREME MRH MED,4G,40,EA,90600,311216,1,10,,,,RAINGRIP EXTREM,M,FGLV
TRADESF,66523,R/GRIP EXTREME 4 DOZ PACK,4G,40,PK,90600,311216,1,480,,,,AWAIT CATEGORY,C,FGLV
TRADESF,COBMAG,COBRA MAG INSERT,C8,97,DZ,90600,311216,1,0,,,N,AWAIT CATEGORY,M,CACC
TRADESF,66531M,RAIN-GRIP GLOVE MLH MED,4G,40,EA,90600,311216,1,10,,,,RAINGRIP EXTREM,M,FGLV
TRADESF,COBMRACK,COBRA METALS RACK,C8,97,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,CACC
TRADESF,66544HM,RAINGRIP MRH ASST H/STMP M,HJ,40,EA,90600,311216,1,11,,,,AWAIT CATEGORY,C,FGLV
TRADESF,COBPRACK,COBRA SW PUTTER RACK,C8,97,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,CACC
TRADESF,66544M,RAIN-GRIP GLOVE MRH MED,4G,40,EA,90600,311216,1,10,,,,RAINGRIP EXTREM,M,FGLV
TRADESF,COBSTAND24,COBRA 24 CLUB STAND,C8,97,EA,90600,311216,1,0,,,N,AWAIT CATEGORY,M,CACC
