EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
TRADESK,19208,WN PRODRY QTR WHT (6),96,70,SIX,10500,311216,1,255,,,,AWAIT CATEGORY,M,SCK1
TRADESK,19527,WN PRODRY LW LCUT BLK (6),96,70,SIX,10500,311216,1,237,,,,AWAIT CATEGORY,M,SCK1
TRADESK,03L,PTS  90            CUSTOM,11,10,DZ,80600,311216,144,243,,,,AWAIT CATEGORY,M,GB1
TRADESK,1EX6-20-EL,PINN EXCEPT 20 DOZ SKICK LOGO,11,10,PK,80600,311216,1,3260,,,,AWAIT CATEGORY,M,PINN
TRADESK,1EX6-20-EL,PINN EXCEPT 20 DOZ SKICK LOGO,11,10,PK,80600,311216,2,3260,,,,AWAIT CATEGORY,M,PINN
TRADESK,1EX6-20-EL,PINN EXCEPT 20 DOZ SKICK LOGO,11,10,PK,80600,311216,3,3260,,,,AWAIT CATEGORY,M,PINN
TRADESK,1EX6-20-EL,PINN EXCEPT 20 DOZ SKICK LOGO,11,10,PK,80600,311216,5,3260,,,,AWAIT CATEGORY,M,PINN
TRADESK,1EX-EL,PINN EXCEPTION DZ LOGO,11,10,DZ,80600,311216,1,163,,,,AWAIT CATEGORY,M,PINN
TRADESK,1EX-EL,PINN EXCEPTION DZ LOGO,11,10,DZ,80600,311216,24,163,,,,AWAIT CATEGORY,M,PINN
TRADESK,1EX-EL,PINN EXCEPTION DZ LOGO,11,10,DZ,80600,311216,48,163,,,,AWAIT CATEGORY,M,PINN
TRADESK,1EX-EL,PINN EXCEPTION DZ LOGO,11,10,DZ,80600,311216,96,163,,,,AWAIT CATEGORY,M,PINN
TRADESK,1EX-EL,PINN EXCEPTION DZ LOGO,11,10,DZ,80600,311216,144,163,,,,AWAIT CATEGORY,M,PINN
TRADESK,1G15-EL,PINN GOLD WHITE 15-BALL LOGO,11,10,PK,80600,311216,1,116,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK,1G15-EL,PINN GOLD WHITE 15-BALL LOGO,11,10,PK,80600,311216,24,116,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK,1G15-EL,PINN GOLD WHITE 15-BALL LOGO,11,10,PK,80600,311216,48,116,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK,1G15-EL,PINN GOLD WHITE 15-BALL LOGO,11,10,PK,80600,311216,96,116,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK,1G15-EL,PINN GOLD WHITE 15-BALL LOGO,11,10,PK,80600,311216,144,116,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK,1L15-EL,PINN GOLD LADY WHITE 15B LOGO,11,10,PK,80600,311216,1,116,,LOGO,,P.LADY WHITE/LA,M,PINN
TRADESK,1L15-EL,PINN GOLD LADY WHITE 15B LOGO,11,10,PK,80600,311216,24,116,,LOGO,,P.LADY WHITE/LA,M,PINN
TRADESK,1L15-EL,PINN GOLD LADY WHITE 15B LOGO,11,10,PK,80600,311216,48,116,,LOGO,,P.LADY WHITE/LA,M,PINN
TRADESK,1L15-EL,PINN GOLD LADY WHITE 15B LOGO,11,10,PK,80600,311216,96,116,,LOGO,,P.LADY WHITE/LA,M,PINN
TRADESK,1L15-EL,PINN GOLD LADY WHITE 15B LOGO,11,10,PK,80600,311216,144,116,,LOGO,,P.LADY WHITE/LA,M,PINN
TRADESK,1LD15-EL,P/GOLD L/DRIVE CUSTOM 15 BALL,11,10,PK,80600,311216,1,119,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK,1LD15-EL,P/GOLD L/DRIVE CUSTOM 15 BALL,11,10,PK,80600,311216,24,119,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK,1LD15-EL,P/GOLD L/DRIVE CUSTOM 15 BALL,11,10,PK,80600,311216,48,119,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK,1LD15-EL,P/GOLD L/DRIVE CUSTOM 15 BALL,11,10,PK,80600,311216,96,119,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK,1LD15-EL,P/GOLD L/DRIVE CUSTOM 15 BALL,11,10,PK,80600,311216,144,119,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK,1NX-EL,NXT CUSTOM DOZEN,11,10,DZ,80600,311216,1,217,,LOGO,,AWAIT CATEGORY,M,GB1
TRADESK,1NX-EL,NXT CUSTOM DOZEN,11,10,DZ,80600,311216,24,217,,LOGO,,AWAIT CATEGORY,M,GB1
TRADESK,1NX-EL,NXT CUSTOM DOZEN,11,10,DZ,80600,311216,48,217,,LOGO,,AWAIT CATEGORY,M,GB1
TRADESK,1NX-EL,NXT CUSTOM DOZEN,11,10,DZ,80600,311216,96,217,,LOGO,,AWAIT CATEGORY,M,GB1
TRADESK,1NX-EL,NXT CUSTOM DOZEN,11,10,DZ,80600,311216,144,217,,LOGO,,AWAIT CATEGORY,M,GB1
