EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
TRADESK1,19208,WN PRODRY QTR WHT (6),96,70,SIX,10500,311217,1,255,,,,AWAIT CATEGORY,M,SCK1
TRADESK1,19527,WN PRODRY LW LCUT BLK (6),96,70,SIX,10500,311217,1,237,,,,AWAIT CATEGORY,M,SCK1
TRADESK1,1NX-EL,NXT CUSTOM DOZEN,11,10,DZ,80600,311217,96,217,,LOGO,,AWAIT CATEGORY,M,GB1
TRADESK1,1NX-EL,NXT CUSTOM DOZEN,11,10,DZ,80600,311217,144,217,,LOGO,,AWAIT CATEGORY,M,GB1
TRADESK1,1PCP-EL,PINNACLE CLR PINK LOGO DOZEN,11,10,DZ,80600,311217,1,163,,,,AWAIT CATEGORY,M,PINN
TRADESK1,1PCP-EL,PINNACLE CLR PINK LOGO DOZEN,11,10,DZ,80600,311217,24,163,,,,AWAIT CATEGORY,M,PINN
TRADESK1,1PCP-EL,PINNACLE CLR PINK LOGO DOZEN,11,10,DZ,80600,311217,48,163,,,,AWAIT CATEGORY,M,PINN
TRADESK1,1PCP-EL,PINNACLE CLR PINK LOGO DOZEN,11,10,DZ,80600,311217,96,163,,,,AWAIT CATEGORY,M,PINN
TRADESK1,1PCP-EL,PINNACLE CLR PINK LOGO DOZEN,11,10,DZ,80600,311217,144,163,,,,AWAIT CATEGORY,M,PINN
TRADESK1,1PCW-EL,PINNACLE CLR WTE LOGO DOZ,11,10,DZ,80600,311217,1,163,,,,AWAIT CATEGORY,M,PINN
TRADESK1,1PCW-EL,PINNACLE CLR WTE LOGO DOZ,11,10,DZ,80600,311217,24,163,,,,AWAIT CATEGORY,M,PINN
TRADESK1,1PCW-EL,PINNACLE CLR WTE LOGO DOZ,11,10,DZ,80600,311217,48,163,,,,AWAIT CATEGORY,M,PINN
TRADESK1,1PCW-EL,PINNACLE CLR WTE LOGO DOZ,11,10,DZ,80600,311217,96,163,,,,AWAIT CATEGORY,M,PINN
TRADESK1,1PCW-EL,PINNACLE CLR WTE LOGO DOZ,11,10,DZ,80600,311217,144,163,,,,AWAIT CATEGORY,M,PINN
TRADESK1,1PG15-EL,PINN.GOLD DIST.WTE.LOGO 15-BL,11,10,PK,80600,311217,1,116,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK1,1PG15-EL,PINN.GOLD DIST.WTE.LOGO 15-BL,11,10,PK,80600,311217,24,116,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK1,1PG15-EL,PINN.GOLD DIST.WTE.LOGO 15-BL,11,10,PK,80600,311217,48,116,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK1,1PG15-EL,PINN.GOLD DIST.WTE.LOGO 15-BL,11,10,PK,80600,311217,96,116,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK1,1PG15-EL,PINN.GOLD DIST.WTE.LOGO 15-BL,11,10,PK,80600,311217,144,116,,LOGO,,AWAIT CATEGORY,M,PINN
TRADESK1,1PTAC-EL,PTS CARRY CUSTOM DOZEN,11,10,DZ,80600,311217,1,188.8,,LOGO,,PTS CARRY DZ,M,GB1
TRADESK1,1PTAC-EL,PTS CARRY CUSTOM DOZEN,11,10,DZ,80600,311217,24,188.8,,LOGO,,PTS CARRY DZ,M,GB1
TRADESK1,1PTAC-EL,PTS CARRY CUSTOM DOZEN,11,10,DZ,80600,311217,48,188.8,,LOGO,,PTS CARRY DZ,M,GB1
TRADESK1,1PTAC-EL,PTS CARRY CUSTOM DOZEN,11,10,DZ,80600,311217,96,188.8,,LOGO,,PTS CARRY DZ,M,GB1
TRADESK1,1PTAC-EL,PTS CARRY CUSTOM DOZEN,11,10,DZ,80600,311217,144,188.8,,LOGO,,PTS CARRY DZ,M,GB1
TRADESK1,1PT-EL,PTS SOLO WHITE CUSTOM,11,10,DZ,80600,311217,1,183,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1PT-EL,PTS SOLO WHITE CUSTOM,11,10,DZ,80600,311217,24,183,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1PT-EL,PTS SOLO WHITE CUSTOM,11,10,DZ,80600,311217,48,183,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1PT-EL,PTS SOLO WHITE CUSTOM,11,10,DZ,80600,311217,96,183,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1PT-EL,PTS SOLO WHITE CUSTOM,11,10,DZ,80600,311217,144,183,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1PTY-EL,PTS SOLO YELLOW CUSTOM DOZENS,11,10,DZ,80600,311217,1,183,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1PTY-EL,PTS SOLO YELLOW CUSTOM DOZENS,11,10,DZ,80600,311217,24,183,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1PTY-EL,PTS SOLO YELLOW CUSTOM DOZENS,11,10,DZ,80600,311217,48,183,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1PTY-EL,PTS SOLO YELLOW CUSTOM DOZENS,11,10,DZ,80600,311217,96,183,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1PTY-EL,PTS SOLO YELLOW CUSTOM DOZENS,11,10,DZ,80600,311217,144,183,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1V-EL,PRO V1 CUSTOM DOZEN,11,10,DZ,80600,311217,1,348,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1V-EL,PRO V1 CUSTOM DOZEN,11,10,DZ,80600,311217,24,348,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1V-EL,PRO V1 CUSTOM DOZEN,11,10,DZ,80600,311217,48,348,,,,AWAIT CATEGORY,M,GB1
TRADESK1,1V-EL,PRO V1 CUSTOM DOZEN,11,10,DZ,80600,311217,96,348,,,,AWAIT CATEGORY,M,GB1
