EXCATL,EXPN,EXDESC,EXPLIN,EXPCLS,EXSUM,EXFRDT,EXTODT,EXQTY,EXNRTL,EXNETF,EXPRCD,EXPER,EXPCAT,EXITYP,EXPCC
TRADEZR,33910A,LACES WHITE DAWHIDE PR,98,80,PR,10100,311216,1,14,,,,AWAIT CATEGORY,M,FJAC
TRADEZR,1G15-EL,PINN GOLD WHITE 15-BALL LOGO,11,10,PK,60600,311216,24,110.69,,LOGO,,AWAIT CATEGORY,M,PINN
TRADEZR,1G15-EL,PINN GOLD WHITE 15-BALL LOGO,11,10,PK,60600,311216,48,103.48,,LOGO,,AWAIT CATEGORY,M,PINN
TRADEZR,1G15-EL,PINN GOLD WHITE 15-BALL LOGO,11,10,PK,60600,311216,96,98.9,,LOGO,,AWAIT CATEGORY,M,PINN
TRADEZR,1G15-EL,PINN GOLD WHITE 15-BALL LOGO,11,10,PK,60600,311216,144,93,,LOGO,,AWAIT CATEGORY,M,PINN
TRADEZR,1LD15-EL,P/GOLD L/DRIVE CUSTOM 15 BALL,11,10,PK,60600,311216,1,98,,,,AWAIT CATEGORY,M,PINN
TRADEZR,1LD15-EL,P/GOLD L/DRIVE CUSTOM 15 BALL,11,10,PK,60600,311216,24,96.5,,,,AWAIT CATEGORY,M,PINN
TRADEZR,1LD15-EL,P/GOLD L/DRIVE CUSTOM 15 BALL,11,10,PK,60600,311216,48,94.3,,,,AWAIT CATEGORY,M,PINN
TRADEZR,1LD15-EL,P/GOLD L/DRIVE CUSTOM 15 BALL,11,10,PK,60600,311216,96,93.2,,,,AWAIT CATEGORY,M,PINN
TRADEZR,1LD15-EL,P/GOLD L/DRIVE CUSTOM 15 BALL,11,10,PK,60600,311216,144,90,,,,AWAIT CATEGORY,M,PINN
TRADEZR,1NX-EL,NXT CUSTOM DOZEN,11,10,DZ,60600,311216,1,222.6,,LOGO,,AWAIT CATEGORY,M,GB1
TRADEZR,1NX-EL,NXT CUSTOM DOZEN,11,10,DZ,60600,311216,24,221.4,,LOGO,,AWAIT CATEGORY,M,GB1
TRADEZR,1NX-EL,NXT CUSTOM DOZEN,11,10,DZ,60600,311216,48,218.8,,LOGO,,AWAIT CATEGORY,M,GB1
TRADEZR,1NX-EL,NXT CUSTOM DOZEN,11,10,DZ,60600,311216,96,217.5,,LOGO,,AWAIT CATEGORY,M,GB1
TRADEZR,1NX-EL,NXT CUSTOM DOZEN,11,10,DZ,60600,311216,144,215,,LOGO,,AWAIT CATEGORY,M,GB1
TRADEZR,1PG15-EL,PINN.GOLD DIST.WTE.LOGO 15-BL,11,10,PK,60600,311216,1,119.2,,,,AWAIT CATEGORY,M,PINN
TRADEZR,1PG15-EL,PINN.GOLD DIST.WTE.LOGO 15-BL,11,10,PK,60600,311216,24,110.69,,,,AWAIT CATEGORY,M,PINN
TRADEZR,1PG15-EL,PINN.GOLD DIST.WTE.LOGO 15-BL,11,10,PK,60600,311216,48,103.48,,,,AWAIT CATEGORY,M,PINN
TRADEZR,1PG15-EL,PINN.GOLD DIST.WTE.LOGO 15-BL,11,10,PK,60600,311216,96,98.9,,,,AWAIT CATEGORY,M,PINN
TRADEZR,1PG15-EL,PINN.GOLD DIST.WTE.LOGO 15-BL,11,10,PK,60600,311216,144,93,,,,AWAIT CATEGORY,M,PINN
TRADEZR,1PT-EL,PTS SOLO WHITE CUSTOM,11,10,DZ,60600,311216,1,176.6,,,,AWAIT CATEGORY,M,GB1
TRADEZR,1PT-EL,PTS SOLO WHITE CUSTOM,11,10,DZ,60600,311216,24,175.5,,,,AWAIT CATEGORY,M,GB1
TRADEZR,66446M,WEATHERSOF MRH ASST   MED,4F,40,EA,60600,311216,1,55,,,,WEATHERSOF,M,FGLV
TRADEZR,66447M,W/SOF MENS 2-FER PACK MED,4F,40,PK,60600,311216,1,95,,,,WEATHERSOF PAIR,M,FGLV
TRADEZR,66450,WEATHERSOF MLH 6 DZ L/PACK,4F,40,PK,60600,311216,1,3960,,,,AWAIT CATEGORY,M,FGLV
TRADEZR,66464M,WEATHERSOF MRH ASSTD MED,4F,40,EA,60600,311216,1,55,,,,WEATHERSOF,M,FGLV
TRADEZR,1PT-EL,PTS SOLO WHITE CUSTOM,11,10,DZ,60600,311216,96,172.2,,,,AWAIT CATEGORY,M,GB1
TRADEZR,1PT-EL,PTS SOLO WHITE CUSTOM,11,10,DZ,60600,311216,144,170,,,,AWAIT CATEGORY,M,GB1
TRADEZR,1V-EL,PRO V1 CUSTOM DOZEN,11,10,DZ,60600,311216,1,431.6,,,,AWAIT CATEGORY,M,GB1
TRADEZR,1V-EL,PRO V1 CUSTOM DOZEN,11,10,DZ,60600,311216,24,430.5,,,,AWAIT CATEGORY,M,GB1
TRADEZR,1V-EL,PRO V1 CUSTOM DOZEN,11,10,DZ,60600,311216,48,428.3,,,,AWAIT CATEGORY,M,GB1
TRADEZR,1V-EL,PRO V1 CUSTOM DOZEN,11,10,DZ,60600,311216,96,427.2,,,,AWAIT CATEGORY,M,GB1
TRADEZR,CRESTSAMPLE,CRESTED SAMPLE,83,50,EA,60600,311216,1,0,,,N,AWAIT CATEGORY,M,TACC
TRADEZR,1V-EL,PRO V1 CUSTOM DOZEN,11,10,DZ,60600,311216,144,425,,,,AWAIT CATEGORY,M,GB1
TRADEZR,32L,PINNACLE PRACT BALL LOGO,11,10,DZ,60600,311216,1,90,,,,PRACTICE + LOGO,M,NODS
TRADEZR,C1EX-EL,PINN EXCEPTION DZ C/LOGO,11,10,DZ,60600,311216,1,141.6,,,,AWAIT CATEGORY,M,PINN
TRADEZR,C1EX-EL,PINN EXCEPTION DZ C/LOGO,11,10,DZ,60600,311216,24,140.5,,,,AWAIT CATEGORY,M,PINN
TRADEZR,85422A,TITLEIST MENS VISOR WT EA,85,50,EA,60600,311216,1,50,,,,AWAIT CATEGORY,C,TACC
TRADEZR,85451A,TITLEIST BOBBLE HAT EACH,85,50,EA,60600,311216,1,92.92,,,,AWAIT CATEGORY,M,TACC
TRADEZR,85456A,TITLEIST BOBBLE HATS EACH,85,50,EA,60600,311216,1,90.83,,,,AWAIT CATEGORY,M,TACC
TRADEZR,85458A,TITLEIST BOBBLE HAT EACH,85,50,EA,60600,311216,1,75,,,,AWAIT CATEGORY,M,TACC
TRADEZR,C1EX-EL,PINN EXCEPTION DZ C/LOGO,11,10,DZ,60600,311216,48,138.3,,,,AWAIT CATEGORY,M,PINN
TRADEZR,85465A,TITLEIST STAFF CAPS  EACH,85,50,EA,60600,311216,1,128,,,,AWAIT CATEGORY,M,TACC
TRADEZR,85468A,TITL MENS FJ CAP     EACH,85,50,EA,60600,311216,1,108.33,,,,AWAIT CATEGORY,M,TACC
